fold,candidate_id,factor_preset,risk_preset,portfolio_preset,w_combo_eff_accel,w_momentum_12_1,w_fund_hit_rate_20,w_vol_60d,w_max_drawdown_60d,top_n,max_per_theme,max_weight,volatility_target,weak_market_exposure,train_start,train_end,train_trading_days,train_total_return,train_annual_return,train_annual_volatility,train_sharpe_rf0,train_max_drawdown,train_calmar,test_start,test_end,test_trading_days,test_total_return,test_annual_return,test_annual_volatility,test_sharpe_rf0,test_max_drawdown,test_calmar,selection_score
2020_2022_to_2023,eff_heavy__risk_light__balanced,eff_heavy,risk_light,balanced,0.55,0.3,0.15,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.28843999827068534,0.09398179689834207,0.06320989521973182,1.486820956934673,-0.04224555338645497,2.22465536286418,2023-01-03,2023-12-29,242,0.010147278444776253,0.010568795656091368,0.03183526566235713,0.33198390012457774,-0.022357130572383088,0.4727259440505571,2.99393396308746
2020_2023_to_2024,eff_heavy__risk_light__balanced,eff_heavy,risk_light,balanced,0.55,0.3,0.15,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2023-12-29,953,0.30112910186612973,0.0720857566820623,0.0569493915556441,1.265786248332939,-0.04224555338645497,1.7063513412319242,2024-01-02,2024-12-31,242,0.01924977841882236,0.020053147663505078,0.07989516682452515,0.25099325103792675,-0.06505512840493077,0.3082485294423794,2.354164567046197
2020_2024_to_2025,mom_heavy__risk_defensive__balanced,mom_heavy,risk_defensive,balanced,0.35,0.45,0.2,-0.25,0.2,20,3,0.12,0.18,0.6,2020-02-04,2024-12-31,1195,0.3769543975349028,0.06978171429881908,0.049818877124438006,1.400708292250701,-0.04499842937266296,1.5507588880693741,2025-01-02,2025-12-31,243,0.2680688735163448,0.27927215672735084,0.1362872585529014,2.0491435493872543,-0.07504617124108226,3.721337839211041,2.2635046766578024
2020_2025_to_2026,hit_quality__risk_light__defensive,hit_quality,risk_light,defensive,0.4,0.3,0.3,-0.15,0.1,25,3,0.1,0.15,0.5,2020-02-04,2025-12-31,1438,0.6815420706156812,0.09535221263718618,0.06943749507382624,1.373209280314725,-0.055752673299421796,1.7102715797158927,2026-01-05,2026-06-05,100,0.05777974027418731,0.15206243684103038,0.1163684152955084,1.306732900459973,-0.04274794046406405,3.557187438512068,2.4166759895421377
