fold,candidate_id,factor_preset,risk_preset,portfolio_preset,w_combo_eff_accel,w_momentum_12_1,w_fund_hit_rate_20,w_vol_60d,w_max_drawdown_60d,top_n,max_per_theme,max_weight,volatility_target,weak_market_exposure,train_start,train_end,train_trading_days,train_total_return,train_annual_return,train_annual_volatility,train_sharpe_rf0,train_max_drawdown,train_calmar,test_start,test_end,test_trading_days,test_total_return,test_annual_return,test_annual_volatility,test_sharpe_rf0,test_max_drawdown,test_calmar,selection_score
2020_2022_to_2023,base__risk_light__balanced,base,risk_light,balanced,0.45,0.35,0.2,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.2880652586051953,0.09386901295407135,0.06543579526174596,1.4345208548102963,-0.04593665801119784,2.0434445390256553,2023-01-03,2023-12-29,242,0.009021733578149727,0.009396278595762642,0.02818825176840587,0.33334023950695074,-0.016017646856018586,0.5866204118635576,2.7846711439022402
2020_2022_to_2023,base__risk_light__defensive,base,risk_light,defensive,0.45,0.35,0.2,-0.15,0.1,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.19024229550162697,0.06367138529302774,0.05672847325043514,1.122388487557954,-0.05575267329942202,1.1420328663179602,2023-01-03,2023-12-29,242,0.008392321968897942,0.00874062340473536,0.03230051161882827,0.2706032495051988,-0.01711260471122611,0.5107710691757748,1.70718646609374
2020_2022_to_2023,base__risk_balanced__balanced,base,risk_balanced,balanced,0.45,0.35,0.2,-0.2,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.25284146696301546,0.08317183487455204,0.057157730359282274,1.4551283676197464,-0.040997033172674,2.0287281405033246,2023-01-03,2023-12-29,242,0.019666153369085393,0.02048707359889934,0.021784890143708883,0.9404258393662669,-0.009100700465956235,2.2511534881888577,2.7773797251641366
2020_2022_to_2023,base__risk_balanced__defensive,base,risk_balanced,defensive,0.45,0.35,0.2,-0.2,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.1724807294631785,0.0580182628489152,0.05403302430356958,1.0737556077364032,-0.0563808048215696,1.0290428281846584,2023-01-03,2023-12-29,242,0.009154417446209262,0.009534496930736491,0.03053541838581403,0.3122438608919134,-0.017855121876043767,0.5339922626643582,1.5667393610665328
2020_2022_to_2023,base__risk_defensive__balanced,base,risk_defensive,balanced,0.45,0.35,0.2,-0.25,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.24249020191411175,0.0799913922855886,0.055463652066027234,1.4422308900676444,-0.04079232058005722,1.9609424310294141,2023-01-03,2023-12-29,242,0.02084297172885985,0.0217135366425818,0.021172897277467722,1.0255345009248888,-0.007967411879799657,2.7252936047694063,2.701657411916002
2020_2022_to_2023,base__risk_defensive__defensive,base,risk_defensive,defensive,0.45,0.35,0.2,-0.25,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.15216134558798156,0.05148282324264897,0.05011017700432506,1.0273925641532944,-0.056380804821569486,0.9131267885511505,2023-01-03,2023-12-29,242,0.009565057949579181,0.009962270697015718,0.030268650737440395,0.32912833754736953,-0.018346425052491733,0.5430088242538939,1.4243740798383375
2020_2022_to_2023,mom_heavy__risk_light__balanced,mom_heavy,risk_light,balanced,0.35,0.45,0.2,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.30733386043683253,0.0996409765484314,0.07114866268511041,1.4004616922938131,-0.05162047443961937,1.9302607662969422,2023-01-03,2023-12-29,242,0.005437753871054829,0.005663089520075326,0.023690362224257806,0.2390461347305442,-0.013620758720237491,0.4157690211237061,2.654501863498255
2020_2022_to_2023,mom_heavy__risk_light__defensive,mom_heavy,risk_light,defensive,0.35,0.45,0.2,-0.15,0.1,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.19634708926057232,0.06560182592669928,0.059577339503560735,1.1011204339324094,-0.050536822706856,1.2980995324385423,2023-01-03,2023-12-29,242,-0.0030228071642849352,-0.0031475197713859426,0.03147246866678831,-0.10000867122023382,-0.02158115789709203,-0.14584573202210147,1.8561922510146684
2020_2022_to_2023,mom_heavy__risk_balanced__balanced,mom_heavy,risk_balanced,balanced,0.35,0.45,0.2,-0.2,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.2708260420429667,0.08865752299361129,0.06357292547568391,1.3945798833423517,-0.044998429372663296,1.9702359444454534,2023-01-03,2023-12-29,242,0.011517496442418507,0.011996269615319521,0.021536372150629084,0.5570236960717224,-0.009390170306486256,1.277534828844702,2.6893554329271034
2020_2022_to_2023,mom_heavy__risk_balanced__defensive,mom_heavy,risk_balanced,defensive,0.35,0.45,0.2,-0.2,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.1659933393437092,0.05593968777370906,0.055336028779634575,1.0109089684855854,-0.0564652312464351,0.9906926180744328,2023-01-03,2023-12-29,242,0.0032380069466619865,0.0033720342308485307,0.030126996485028586,0.11192732845188338,-0.021372126141920966,0.15777720047395555,1.4958843305808625
