date,fund_code,weight,fund_name,fund_type
2017-01-26,159920,0.03246981149628554,恒生ETF华夏,指数型-海外股票
2017-01-26,513660,0.03264877883317123,恒生ETF华夏,指数型-股票
2017-01-26,513600,0.03200583539372196,恒生指数ETF南方,指数型-股票
2017-01-26,510900,0.03294147658641015,恒生中国企业ETF易方达,指数型-海外股票
2017-01-26,510880,0.04506994206865555,红利ETF华泰柏瑞,指数型-股票
2017-01-26,510230,0.04167671248081519,金融ETF国泰,指数型-股票
2017-01-26,510650,0.03977316149720378,金融地产ETF华夏,指数型-股票
2017-01-26,510630,0.028806007856943955,消费ETF华夏,指数型-股票
2017-01-26,513030,0.0367971027803375,德国ETF华安,指数型-海外股票
2017-01-26,512600,0.039294674035942494,消费ETF嘉实,指数型-股票
2017-01-26,511880,0.12,银华日利ETF,货币型-普通货币
2017-01-26,518800,0.038399389250981374,黄金ETF国泰,指数型-其他
2017-01-26,159937,0.03751709134226468,黄金ETF博时,指数型-其他
2017-01-26,159934,0.03767145347041884,黄金ETF易方达,指数型-其他
2017-01-26,159928,0.04091037801884775,消费ETF汇添富,指数型-股票
2017-01-26,510660,0.05231881147206594,医药ETF华夏,指数型-股票
2017-01-26,512070,0.037228767566792595,证券保险ETF易方达,指数型-股票
2017-01-26,512010,0.03447060584914141,医药ETF易方达,指数型-股票
2017-01-26,511900,0.12,富国货币ETF,货币型-普通货币
2017-01-26,511990,0.12,华宝添益ETF,货币型-普通货币
2017-02-28,513660,0.04413328140296465,恒生ETF华夏,指数型-股票
2017-02-28,513600,0.03861564417419464,恒生指数ETF南方,指数型-股票
2017-02-28,159920,0.0434529275678255,恒生ETF华夏,指数型-海外股票
2017-02-28,510900,0.033720582287301806,恒生中国企业ETF易方达,指数型-海外股票
2017-02-28,511880,0.12,银华日利ETF,货币型-普通货币
2017-02-28,159928,0.03459711041158141,消费ETF汇添富,指数型-股票
2017-02-28,510880,0.045828019383134404,红利ETF华泰柏瑞,指数型-股票
2017-02-28,510660,0.049127820161243486,医药ETF华夏,指数型-股票
2017-02-28,512600,0.0360418908351205,消费ETF嘉实,指数型-股票
2017-02-28,510630,0.024149541344007652,消费ETF华夏,指数型-股票
2017-02-28,513100,0.042622944549044854,纳指ETF国泰,指数型-海外股票
2017-02-28,159938,0.04898994390462917,医药ETF广发,指数型-股票
2017-02-28,159940,0.03345669867085546,金融地产ETF广发,指数型-股票
2017-02-28,518800,0.056058993321877255,黄金ETF国泰,指数型-其他
2017-02-28,159937,0.05613731985917968,黄金ETF博时,指数型-其他
2017-02-28,159934,0.05444927563893361,黄金ETF易方达,指数型-其他
2017-02-28,512010,0.03376091383144122,医药ETF易方达,指数型-股票
2017-02-28,512070,0.04354415225472875,证券保险ETF易方达,指数型-股票
2017-02-28,510230,0.04131294040193595,金融ETF国泰,指数型-股票
2017-02-28,511900,0.12,富国货币ETF,货币型-普通货币
2017-03-31,512010,0.02346415312834385,医药ETF易方达,指数型-股票
2017-03-31,159928,0.02387215749068545,消费ETF汇添富,指数型-股票
2017-03-31,511880,0.12,银华日利ETF,货币型-普通货币
2017-03-31,159920,0.02943788059509778,恒生ETF华夏,指数型-海外股票
2017-03-31,510660,0.03432097122578649,医药ETF华夏,指数型-股票
2017-03-31,513660,0.03162578247555303,恒生ETF华夏,指数型-股票
2017-03-31,513600,0.024905188159179605,恒生指数ETF南方,指数型-股票
2017-03-31,513100,0.023466403354383443,纳指ETF国泰,指数型-海外股票
2017-03-31,510880,0.039874574010337595,红利ETF华泰柏瑞,指数型-股票
