date,strategy_return,nav,turnover,cost
2018-01-02,0.00421324265176105,1.0042132426517612,0.36870903558606494,0.00018435451779303248
2018-01-03,0.002103208874327291,1.0063253128554235,0.0,0.0
2018-01-04,0.0014677438879296732,1.007802340682636,0.0,0.0
2018-01-05,0.0008261166635295912,1.0086349029898178,0.0,0.0
2018-01-08,0.002569143857824664,1.0112262311556217,0.0,0.0
2018-01-09,0.0029186315337021407,1.0141776279215793,0.0,0.0
2018-01-10,0.0013100547120264334,1.0155062561018697,0.0,0.0
2018-01-11,-0.0002085721752088674,1.0152944497530965,0.0,0.0
2018-01-12,0.0033245170647261566,1.0186698134770225,0.0,0.0
2018-01-15,0.0006428933241080775,1.0193247094995772,0.0,0.0
2018-01-16,0.0026230137390970856,1.0219984122171957,0.0,0.0
2018-01-17,-0.0006699237943371996,1.0213137511630765,0.0,0.0
2018-01-18,0.0012087859755107308,1.0225483009020788,0.0,0.0
2018-01-19,0.0012662838622968027,1.02384313731393,0.0,0.0
2018-01-22,0.004774626103730693,1.0287316054834748,0.0,0.0
2018-01-23,0.0014988039120269264,1.0302734724381992,0.0,0.0
2018-01-24,-0.00022153203788687564,1.0300452338562691,0.0,0.0
2018-01-25,-0.0023648004182621417,1.027609382456417,0.0,0.0
2018-01-26,0.001140776872189793,1.0287816554735685,0.0,0.0
2018-01-29,-0.004876339669674876,1.023764966675549,0.0,0.0
2018-01-30,-0.0044384839567108035,1.019221002295517,0.0,0.0
2018-01-31,0.00041525643991824693,1.0196442403804202,0.0,0.0
2018-02-01,-0.0014792424792288423,1.0181359393063485,0.38448549832399237,0.00019224274916199619
2018-02-02,0.00046587603165252917,1.0186102644374353,0.0,0.0
2018-02-05,-0.003418802545968857,1.0151278370720267,0.0,0.0
2018-02-06,-0.011403799271412569,1.0035515229832341,0.0,0.0
2018-02-07,-0.005203790987162015,0.9983292506127812,0.0,0.0
2018-02-08,-0.0020772327159308186,0.9962554884321376,0.0,0.0
2018-02-09,-0.01239569336531097,0.9839062108840247,0.0,0.0
2018-02-12,0.005882863539806197,0.9896943968586233,0.0,0.0
2018-02-13,0.004351500027748765,0.9940010520540163,0.0,0.0
2018-02-14,0.0038688103686013485,0.9978466536306035,0.0,0.0
2018-02-22,0.004903149348930045,1.0027392448006844,0.0,0.0
2018-02-23,0.00195158139828358,1.0046961720581664,0.0,0.0
2018-02-26,0.0037912169201628093,1.0085051931852962,0.0,0.0
2018-02-27,-0.0033351957599104913,1.005141630941137,0.0,0.0
2018-02-28,-0.004477845676420975,1.0006407618348365,0.0,0.0
2018-03-01,0.000981890232648858,1.0016232812252723,0.307735913186357,0.0001538679565931785
2018-03-02,-0.0010336682513811676,1.0005879350396256,0.0,0.0
2018-03-05,-0.0004777075872101763,1.000109946591386,0.0,0.0
2018-03-06,0.0031847921471835367,1.0032950888956105,0.0,0.0
2018-03-07,-0.00014244473204969667,1.003152174795506,0.0,0.0
2018-03-08,0.003349146052732642,1.0065118779420124,0.0,0.0
2018-03-09,0.001277242916833505,1.0077974381088226,0.0,0.0
2018-03-12,0.002216742531616538,1.0100314655531326,0.0,0.0
2018-03-13,-0.0015697754867028152,1.0084459429177088,0.0,0.0
2018-03-14,-0.0016686464198474532,1.0067632032054494,0.0,0.0
2018-03-15,0.0016083364390079107,1.008382417150617,0.0,0.0
2018-03-16,-0.0012642675820129432,1.0071075519503416,0.0,0.0
2018-03-19,0.0010999824974243157,1.0082153526305109,0.0,0.0
2018-03-20,0.001129967956371872,1.0093546036721055,0.0,0.0
2018-03-21,-0.00034979393346629335,1.0090015375550248,0.0,0.0
2018-03-22,-0.0007970114380801275,1.008197351788553,0.0,0.0
2018-03-23,-0.0065494158996932126,1.0015942480227205,0.0,0.0
2018-03-26,1.2250913585868482e-05,1.001606518467301,0.0,0.0
2018-03-27,0.002029227831999105,1.0036390062912866,0.0,0.0
2018-03-28,-0.004835942812876078,0.9987854654520901,0.0,0.0
2018-03-29,-0.0007876843479397535,0.9979987377740038,0.0,0.0
