alpha_set,oos_total_return,oos_annual_return,oos_annual_volatility,oos_sharpe_rf0,oos_max_drawdown,oos_calmar
A_45_35_20,0.5759509680439567,0.14847538554934947,0.10119745880656272,1.4671849204549468,-0.07585137648280971,1.9574514324469594
B_40_40_20,0.5469190774620207,0.1419946012251987,0.10460975902496121,1.3573743267233507,-0.07642885481804196,1.8578663982765726
