AUM,年化,Sharpe,MDD,年化冲击拖累
0.1亿,0.0774494481070922,0.9624429015313883,-0.07422982751233242,0.010915962628423342
0.5亿,0.06297889895303044,0.7788458668119002,-0.08543532516226826,0.02440883447700187
1.0亿,0.05224949500577081,0.6426108336065384,-0.10838908120925872,0.03451930475909604
5.0亿,0.008023308457745237,0.09485596549494353,-0.20662442046332974,0.07718751197737073
10.0亿,-0.024023930336335653,-0.2717752418510863,-0.3531917862913768,0.10915962628423342
30.0亿,-0.10019363907143353,-0.982149759183453,-0.6245743158832051,0.18907001885952332
