cost_bps,ann,sharpe,mdd
0,0.09670312109803292,1.2036709053057577,-0.07422982751233231
5,0.0892844263762338,1.111467496987551,-0.07422982751233242
10,0.08191151816886189,1.019197841780118,-0.07422982751233242
15,0.07458414063940344,0.9270259837968241,-0.07422982751233242
20,0.06730203923364675,0.8351157026394126,-0.07422982751233242
30,0.05287265295372845,0.652724840730828,-0.08595748616079124
50,0.02454613449923837,0.2979253515447562,-0.1474399046116447
