date,strategy_nav,strategy_return,turnover,cost,hs300_close,hs300_nav,strategy_dd,hs300_dd
2020-02-04,1.0,0.012166504419375964,0.0,0.0,3785.638,1.0,0.0,0.0
2020-02-05,1.007030015715192,0.007030015715191937,0.0,0.0,3828.527,1.0113293981093807,0.0,0.0
2020-02-06,1.0159022861386817,0.008810333639547422,0.0,0.0,3899.775,1.0301500037774347,0.0,0.0
2020-02-07,1.0158623145721055,-3.934587717884766e-05,0.0,0.0,3899.869,1.0301748344664756,-3.934587717890903e-05,0.0
2020-02-10,1.0179506519585095,0.0020557287699795195,0.0,0.0,3916.005,1.0344372599810125,0.0,0.0
2020-02-11,1.0189367645829037,0.0009687234076592435,0.0,0.0,3952.464,1.0440681332974786,0.0,0.0
2020-02-12,1.0226981379467974,0.003691468886622432,0.0,0.0,3984.433,1.0525129449778348,0.0,0.0
2020-02-13,1.0211964342203057,-0.001468374362650631,0.0,0.0,3959.919,1.0460374182634473,-0.0014683743626506818,-0.006152443773053795
2020-02-14,1.0228940539880746,0.0016623831722099966,0.0,0.0,3987.734,1.053384924813202,0.0,0.0
2020-02-17,1.0300395038656587,0.006985522938299533,0.0,0.0,4077.424,1.0770771003460975,0.0,0.0
2020-02-18,1.03078442259755,0.0007231943329316625,0.0,0.0,4057.511,1.07181695661339,0.0,-0.0048837207020902
2020-02-19,1.0311575475118475,0.00036198152214729105,0.0,0.0,4051.311,1.070179187761746,0.0,-0.006404288590050822
2020-02-20,1.0362052967574658,0.00489522600867161,0.0,0.0,4144.656,1.0948368544483122,0.0,0.0
2020-02-21,1.0390012236698691,0.0026982364606246475,0.0,0.0,4149.49,1.0961137858400618,0.0,0.0
2020-02-24,1.037749702547546,-0.0012045424912039914,0.0,0.0,4132.839,1.091715319848332,-0.0012045424912038305,-0.00401278229372759
2020-02-25,1.0339811416690392,-0.0036314738219199757,0.0,0.0,4123.854,1.0893418757947804,-0.00483164204859976,-0.006178108635036872
2020-02-26,1.0281303362368814,-0.005658522381475489,0.0,0.0,4073.015,1.0759124353675655,-0.01046282447540392,-0.01842997573195737
2020-02-27,1.024970591308717,-0.003073292185628388,0.0,0.0,4084.876,1.0790455928432672,-0.013503961344332516,-0.015571552166651736
2020-02-28,1.0127125450346282,-0.011959412668062287,0.0,0.0,3940.049,1.0407886332501946,-0.025301874566024507,-0.05047391366167886
2020-03-02,1.0236713645812536,0.010821253869478619,0.6754311962953026,0.0003377155981476513,4069.666,1.0750277760314113,-0.014754418704598593,-0.019237062867966892
2020-03-03,1.0262891378788814,0.002557239938716844,0.0,0.0,4091.362,1.0807589103870998,-0.012234909354665757,-0.014008468510588123
2020-03-04,1.03284100245108,0.00638403382670477,0.0,0.0,4115.052,1.0870167723379784,-0.005928983603147864,-0.00829933317106435
2020-03-05,1.040731668467262,0.0076397683645947284,0.0,0.0,4206.725,1.1112327697471338,0.0,0.0
