w_momentum,ann,vol,sharpe,mdd,calmar
0.0,0.09338772996652112,0.07082423075794991,1.318584458554652,-0.0816699624580115,1.143477077200005
0.1,0.09633118016734343,0.07058430752287928,1.3647676593854594,-0.07500218152114047,1.2843783769168244
0.2,0.09922252797858544,0.07111552029926604,1.3952302895491784,-0.06829401822208991,1.4528728951914502
0.3,0.10206134717086224,0.07240089736535113,1.4096696434001066,-0.0631231804542286,1.6168600256900583
0.4,0.10484721796129537,0.07440136157425324,1.4092110109659335,-0.058637871185233004,1.7880461183539595
0.5,0.10757972710329344,0.07706124331867009,1.3960289565848396,-0.05480390247259981,1.9629939155716118
0.6,0.11025846797511885,0.08031505333657978,1.3728244381916042,-0.055671749792858494,1.9805101938660938
0.7,0.11288304066717036,0.08409387799369171,1.3423455233642367,-0.058426999658593104,1.9320355542263101
0.8,0.11545305206802459,0.08833036166856796,1.3070596552205462,-0.06444797565232685,1.791414717055682
0.9,0.11796811594913859,0.09296195577710266,1.2689934819357056,-0.0704485895817617,1.6745277180067084
1.0,0.12042785304826764,0.09793261767271322,1.2297011548362016,-0.07642885481804218,1.5756856927266014
