,ann,vol,sharpe,mdd,calmar
动量(10bps),0.12042785304826764,0.09793261767271322,1.2297011548362016,-0.07642885481804218,1.5756856927266014
multi_asset,0.09338772996652112,0.07082423075794991,1.318584458554652,-0.0816699624580115,1.143477077200005
组合(w=0.3),0.10206134717086224,0.07240089736535113,1.4096696434001066,-0.0631231804542286,1.6168600256900583
沪深300,0.06866161651443958,0.16899191607580535,0.4063011894819855,-0.24803913984688242,0.27681766900508215
