cost_bps,w_opt,ann,vol,sharpe,mdd,calmar
5,0.4,0.10788940136930214,0.07443889624814473,1.4493686339685767,-0.058637871185233115,1.8399269821458344
10,0.3,0.10206134717086224,0.07240089736535113,1.4096696434001066,-0.0631231804542286,1.6168600256900583
15,0.3,0.0997909328907225,0.07237134987199441,1.3788734501598492,-0.06312318045422838,1.580892030037721
20,0.2,0.09620468441887753,0.07106792814202138,1.353700423440277,-0.06875183233517157,1.399303569828812
