w_momentum,ann,vol,sharpe,mdd,calmar
0.0,0.07294496841176645,0.07618645122307019,0.9574532904569497,-0.10870053320966144,0.6710635749235038
0.1,0.07806490492811524,0.07532861088896223,1.0363247643473266,-0.10167351010551073,0.7677998413461296
0.2,0.08316521290507706,0.0750035566661743,1.1088169228457878,-0.09522286754916598,0.8733743799737679
0.3,0.08824539963388922,0.07521819615167095,1.173192181529454,-0.0887478659712504,0.9943382713278542
0.4,0.09330497204861765,0.07596795493934515,1.2282148719564037,-0.08224863342867661,1.13442580331172
0.5,0.098343436790584,0.07723725104275397,1.2732643311728804,-0.07572530047730042,1.2986866499138374
0.6,0.10336030027314358,0.07900104648190631,1.3083409002286608,-0.07065362458376245,1.4629157510610962
0.7,0.10835506874676692,0.08122713442841091,1.3339762569399154,-0.06899399712087173,1.5704999459146842
0.8,0.11332724836445607,0.08387871610418125,1.3510846806918024,-0.0673385557557552,1.6829474153783044
0.9,0.1182763452474509,0.08691685848407339,1.360798667949139,-0.0704485895817617,1.6789029553271744
1.0,0.12320186555123613,0.09030255360627933,1.3643231628686645,-0.07642885481804218,1.61198104884011
