factor,Q1,Q2,Q3,Q4,Q5,long_short_Q5_Q1
combo_eff_accel,-0.0007163849753498776,0.005961521495366814,0.007338690776588613,0.006321205959691615,0.009879222978054183,0.01059560795340406
momentum_12_1,0.002537073947767148,0.005122010052727072,0.00793555071984765,0.007029200708055922,0.005802401383000214,0.0032653274352330655
fund_hit_rate_20,0.003924038780060795,0.005381687895737757,0.007326483831794527,0.006315791034792229,0.007147349177385086,0.0032233103973242907
vol_60d,0.00463325414178871,0.00485716565186497,0.005689272400780305,0.007325447528642338,0.006355482804669984,0.0017222286628812743
max_drawdown_60d,0.004269701869535541,0.0034649733546051366,0.004659564749397315,0.007931599055499563,0.005395290895589739,0.0011255890260541985
