factor,ic_h20,ic_h60,ic_h120
combo_eff_accel,0.03770118274140518,0.003341593397247807,0.004893995382567806
momentum_12_1,0.031824664766417425,0.0614133166110162,0.05800070640236745
fund_hit_rate_20,0.013742683100080833,0.00789954181866615,0.02860863305213381
vol_60d,-0.04850344252029107,-0.05758153968847274,-0.01134168673015736
max_drawdown_60d,0.05376107454770099,0.04374296501106674,0.013382771693085454
