,combo_eff_accel,momentum_12_1,fund_hit_rate_20,vol_60d,max_drawdown_60d
2018-01-31,-0.7010594908414418,-0.6085165932238116,-0.5494663809661657,-0.5077151931015469,0.18356679543091498
2018-02-28,-0.15315804687256562,-1.2812996165184078,-0.5581223415694461,-0.8466263879207814,0.6729362178530895
2018-03-30,-0.20191450895605131,-1.2395163772325333,-0.6198894186116232,-1.274337312054477,0.8397721530688359
2018-04-27,-0.15935169901594204,-0.7874869372525828,-0.801880370983499,-1.5645983827972731,0.827920184592448
2018-05-31,0.006656223408685852,-0.7775068125094907,-0.6345419032042217,-2.1797845610639426,1.3617412440248458
2018-06-29,0.08046532061414013,-0.6973051438968436,-0.4387562214288155,-2.4263088298806257,1.4275662672599292
2018-07-31,-0.04060637995619629,-0.35482466792399475,-0.39975950843644426,-2.992082059341516,2.1587128008578205
2018-08-31,0.3697980089470214,-0.3683449994335858,-0.36708674318575873,-2.9785592412053736,2.2500486144325147
2018-09-28,0.7019445976656553,-0.08945471486314738,-0.31316996688163345,-3.583534222293644,2.961995417240297
2018-10-31,0.11992318845265748,-0.4628984085610771,-0.7562987536793565,-3.243919308211842,2.3326685159137894
2018-11-30,0.35857860377448125,-0.06696532261299415,-0.7283002093092708,-3.7236467521127143,2.781249393060734
2018-12-28,0.0068365609244471215,-0.18931643304256007,-0.8341351447612547,-3.617356539373097,2.6257745879011978
2019-01-31,0.20964656287625755,-1.0133278352435924,-0.9157491851176982,-2.8827382034698976,1.8019130601961901
2019-02-28,0.9064146283077059,-1.703862363829132,-0.6643235399323166,-2.1825906739114465,1.5087268316639346
2019-03-29,0.5215462149054253,-1.2969703212762904,-0.7951415962105004,-2.5284984357412448,1.8773643355331582
2019-04-30,1.0888190559492092,-1.1750436612660693,-0.567461420526215,-3.1623557816349255,2.443596468072565
2019-05-31,0.6094335219495297,-0.6854352845891172,-0.5167661973673986,-2.9223356359066455,2.3193263335860155
2019-06-28,0.7810206720985448,-0.6108419846489181,-0.49338955198834444,-2.7176726860687768,2.0563782507061683
2019-07-31,0.9536970576130956,-1.0550729928314806,-0.36530957125642904,-2.531610462526911,2.3115449221145203
2019-08-30,0.6004312628520078,-0.956263151571062,-0.5481361430328611,-2.3124575277661914,1.9473546549171485
2019-09-30,0.5227159331734443,-0.7411514270051696,-0.33871275106337057,-2.3302869135704096,2.0577843485974485
2019-10-31,0.31472095195037597,-1.1110089638175276,-0.4138529003383724,-2.604635365139735,2.1733557562970645
2019-11-29,-0.02658887760192119,-0.714996737296876,-0.3550736205732492,-1.9926896725143621,1.7080350778807452
2019-12-31,-0.3133039068105694,-0.6086214425320176,-0.254833231842478,-1.6424464838684143,1.3972690526570273
2020-01-23,0.4282939810151388,-0.4056947156681445,0.20900815011741508,-1.2757997723156222,1.766609091320576
2020-02-28,0.5338033723876054,-0.9465391576741573,-0.08668691276874635,-1.9252041785009604,2.3625766471952305
2020-03-31,-0.09643569973175992,-0.2637010485954241,-0.3020625690599082,-1.2863542394197762,1.7924660581764433
2020-04-30,0.040259182353584194,0.2078023289229226,-0.17596831755441894,-1.1643631537850516,1.988811806083229
2020-05-29,0.4045680837685015,0.8739320743963349,-0.106027084208648,-0.47935404150713257,1.7611321905665824
2020-06-30,0.9283018212953424,1.2971891988266204,0.3130421826999475,-0.13452596125606986,2.1641073218540945
2020-07-31,0.8145730681606764,1.206595503938543,0.15765003714489184,-0.10671956183163223,2.072126944641376
2020-08-31,1.1903182772758432,0.5923820284340596,0.10885379270518865,-0.48404706131783537,2.3734532044274643
2020-09-30,0.9935697465322555,0.9211621201783455,0.36316951552921806,-0.421640448010761,2.454242091443216
2020-10-30,0.8353784117484603,0.6524376860293312,0.24421133380438392,-0.596178514686571,2.491418340543224
2020-11-30,0.42692254282198344,1.2964110109492253,0.1144296447850357,-0.2356162427684857,2.2151844237465936
2020-12-31,0.7474686257392037,1.6817239413544165,0.4536361530891232,-0.10696391830386212,2.7068134760692595
2021-01-29,0.5049546566319055,1.162551630741523,0.4024437440811851,-0.554655653531531,2.9689643823041276
2021-02-26,1.180642475971271,0.4434798282666199,0.7332681809492675,-1.191688669920212,3.7008110721999694
2021-03-31,0.9385387963870557,0.8717292812285862,0.9978107177300761,-0.7292067330849905,3.190332993138888
2021-04-30,1.099244636526393,1.1798773226664738,0.9743100995005015,-0.3239676175288045,2.777175718336315
2021-05-31,1.1374388168773124,1.2475512067656627,1.1956103992520488,-0.060214974700727786,3.162605666921763
2021-06-30,1.6902602134862084,1.032185654484737,1.6583255524002916,-0.00497997045486525,3.6332753210386057
2021-07-30,1.9450339538004475,0.9382932450488635,1.9343696283708764,-0.24069698073699267,3.7876492207638504
2021-08-31,1.7507266586841241,0.8252405715517582,1.682338523325631,-0.38316655271639577,3.4308523114000016
2021-09-30,1.5173929004331035,0.8984297669060322,1.4993386123126344,-0.21627196694510398,3.4106684376664442
2021-10-29,1.395927843915519,1.1163125072963944,1.5448001421244446,-0.09457367174625697,3.1087146678803537
2021-11-30,1.225370456990243,0.8980683174114276,1.3481200662350297,-0.3843452053777948,2.7635725060891825
2021-12-31,1.6959064513876125,0.46418279439749094,1.2808483192613684,-0.9387239081753622,3.014811935497495
2022-01-28,1.4685328656020722,0.8798116528191884,1.1358219278613992,-0.8267200288434661,2.7850014643470677
2022-02-28,1.526456730805189,0.9146649007992496,1.2643368003615278,-1.2482752159686399,3.139488335308455
2022-03-31,1.7266528394479117,0.6239839517719161,1.4371735292333256,-1.620009195124629,3.53441813725231
2022-04-29,1.167936088171202,0.8841221007558331,0.9639019992131563,-1.1413173232049572,2.831139711421232
2022-05-31,1.5706144391582049,0.4042324489661976,1.1314170285173046,-0.6863967885770799,2.3725537664679597
2022-06-30,1.3220608275676093,1.0848824108545636,0.7960613490335783,-0.7806145989961392,2.268508515566899
2022-07-29,1.3650315285526924,1.245115468181588,0.6440178339786149,-1.0836555742312148,2.103809013621707
2022-08-31,1.5515154036879661,1.7409179553937997,0.7837233081399052,-1.785350444460558,2.6454690046160847
2022-09-30,1.402592213868049,1.4239251766194565,0.8813943992089436,-1.5929090871049114,2.4954773881084913
2022-10-31,0.7403702702616255,1.4428049786532278,0.4501838718517665,-1.7283343648772915,2.107734190167057
2022-11-30,1.0887212357439695,1.1602727666347512,0.49471521595879325,-1.6460541666049044,2.208316817356186
2022-12-30,0.6551385685079534,0.5158381010525646,0.13624925000828164,-1.3950997118903679,1.6378359903810948
2023-01-31,0.6917631802070507,0.6454359595482195,0.022241885807323628,-1.8161770555082728,1.8972853334294844
2023-02-28,1.0035840105068468,0.4357858169791399,0.2391298515124205,-1.8240886057068404,2.055318993121228
2023-03-31,0.8786739640159059,0.7220909155512345,0.14157381641357547,-2.196642474013479,2.280070124092819
2023-04-28,1.0022472904522441,1.008390187285757,0.48597571345658985,-2.3889674526094797,2.604801892025011
2023-05-31,0.9863938390871899,0.7668272586863316,0.3525379991698404,-2.265217880342815,2.4031500736636575
2023-06-30,1.1385967460142448,0.559533890381372,0.23335639277539022,-2.4471181342592696,2.2696543240566838
2023-07-31,0.9850620059114253,1.0389342123843484,0.19237559392224632,-2.8312267820186094,2.2337017512197654
2023-08-31,1.1643639976078777,1.152405463265852,0.12677667053912417,-3.3295808188293394,2.6629198435184325
2023-09-28,1.2322664686342453,1.1232608913464697,0.2962502899877394,-3.284040454000502,2.8317802045752485
2023-10-31,1.3356014640051572,1.4921363750856258,0.49120442989257246,-3.1476586806189237,3.1887987180640183
2023-11-30,1.2785298950977169,1.525149937388936,0.46749681564777096,-3.470136590711904,3.1459226241968694
2023-12-29,1.7694836752909078,1.7682994247062092,0.6788906362134717,-4.252787879675447,3.496118857567766
2024-01-31,0.9966667614962519,1.4885498881424348,0.09763732918422285,-3.6065123171282725,2.662362000845736
2024-02-29,0.9887383224808355,1.5466036673158101,0.04763375799738489,-3.7672842104331092,2.9213095524330797
2024-03-29,1.1207252871430102,1.742417845201859,0.17552949294868372,-4.044210018461768,3.226860325868981
2024-04-30,1.3397531771265865,2.2768436680853092,0.4891501753320169,-4.609996362465246,3.6552323349499827
2024-05-31,1.7154592195951963,2.8758006376489336,0.7640937056417061,-5.005757485704664,4.080032652732997
2024-06-28,1.8216682048108757,2.6438341291588205,0.6757583325021488,-5.013071195553886,4.095793144566449
2024-07-31,1.432707907420573,3.1574216102757386,0.5940414316077975,-5.3764476805848584,4.210893668832452
