factor,combo_eff_accel,momentum_12_1,fund_hit_rate_20,vol_60d,max_drawdown_60d
combo_eff_accel,1.0,-0.025698700137675206,0.47297160873797145,-0.051928724059154135,0.40397729683453526
momentum_12_1,-0.025698700137675206,1.0,0.24091794033773672,0.07380445988920861,0.1453235122531629
fund_hit_rate_20,0.47297160873797145,0.24091794033773672,1.0,0.04888063638246721,0.47969773543230215
vol_60d,-0.051928724059154135,0.07380445988920861,0.04888063638246721,1.0,-0.43223146792678074
max_drawdown_60d,0.40397729683453526,0.1453235122531629,0.47969773543230215,-0.43223146792678074,1.0
