date,total_vol_strategy,downside_vol_strategy,hs300_close,hs300_nav,total_vol_dd,downside_vol_dd,hs300_dd
2020-02-04,1.0,1.0,3785.638,1.0,0.0,0.0,0.0
2020-02-05,1.007030015715192,1.0000811227387036,3828.527,1.0113293981093807,0.0,0.0,0.0
2020-02-06,1.0159022861386817,1.0000811227387036,3899.775,1.0301500037774347,0.0,0.0,0.0
2020-02-07,1.0158623145721055,1.0002433682161112,3899.869,1.0301748344664756,-3.934587717890903e-05,0.0,0.0
2020-02-10,1.0179506519585095,1.0003244909548148,3916.005,1.0344372599810125,0.0,0.0,0.0
2020-02-11,1.0189367645829037,1.0004056136935184,3952.464,1.0440681332974786,0.0,0.0,0.0
2020-02-12,1.0226981379467974,1.0004867364322223,3984.433,1.0525129449778348,0.0,0.0,0.0
2020-02-13,1.0211964342203057,1.000502960979963,3959.919,1.0460374182634473,-0.0014683743626506818,0.0,-0.006152443773053795
2020-02-14,1.0228940539880746,1.0006489819096294,3987.734,1.053384924813202,0.0,0.0,0.0
2020-02-17,1.0300395038656587,1.000730104648333,4077.424,1.0770771003460975,0.0,0.0,0.0
2020-02-18,1.03078442259755,1.0008112273870367,4057.511,1.07181695661339,0.0,0.0,-0.0048837207020902
2020-02-19,1.0311575475118475,1.0008112273870367,4051.311,1.070179187761746,0.0,0.0,-0.006404288590050822
2020-02-20,1.0362052967574658,1.0008923501257403,4144.656,1.0948368544483122,0.0,0.0,0.0
2020-02-21,1.0390012236698691,1.0010545956031478,4149.49,1.0961137858400618,0.0,0.0,0.0
2020-02-24,1.037749702547546,1.0011357183418514,4132.839,1.091715319848332,-0.0012045424912038305,0.0,-0.00401278229372759
2020-02-25,1.0339811416690392,1.0011357183418514,4123.854,1.0893418757947804,-0.00483164204859976,0.0,-0.006178108635036872
2020-02-26,1.0281303362368814,1.001216841080555,4073.015,1.0759124353675655,-0.01046282447540392,0.0,-0.01842997573195737
2020-02-27,1.024970591308717,1.0012979638192587,4084.876,1.0790455928432672,-0.013503961344332516,0.0,-0.015571552166651736
2020-02-28,1.0127125450346282,1.0014196479273143,3940.049,1.0407886332501946,-0.025301874566024507,0.0,-0.05047391366167886
2020-03-02,1.0236713645812536,1.0014602092966658,4069.666,1.0750277760314113,-0.014754418704598593,0.0,-0.019237062867966892
