date,nav_norm
2020-02-04,1.0
2020-02-05,1.0073066712667347
2020-02-06,1.0157384287968547
2020-02-07,1.0154025162668314
2020-02-10,1.0172846712337953
2020-02-11,1.0182402894165423
2020-02-12,1.02207944655533
2020-02-13,1.0206644315074003
2020-02-14,1.0217896533219368
2020-02-17,1.028106255090849
2020-02-18,1.0287294101365205
2020-02-19,1.029408691715947
2020-02-20,1.0332129410275752
2020-02-21,1.0357772367535256
2020-02-24,1.0333193932212992
2020-02-25,1.0289641210062486
2020-02-26,1.0232897752859604
2020-02-27,1.0187902805290598
2020-02-28,1.0065656272715242
2020-03-02,1.0161876322109624
2020-03-03,1.018796770551575
2020-03-04,1.0252990737972842
2020-03-05,1.0331180679416472
2020-03-06,1.0320127813319193
2020-03-09,1.0196303716388275
2020-03-10,1.0244498300714098
2020-03-11,1.0198512290073036
2020-03-12,1.0070775085599528
2020-03-13,1.0024754642149658
2020-03-16,0.9792728295441161
2020-03-17,0.9753377406074405
2020-03-18,0.9722499861862941
2020-03-19,0.9687708417238502
2020-03-20,0.9758763222055348
2020-03-23,0.967024094822308
2020-03-24,0.9860476948602508
2020-03-25,0.9969818072340851
2020-03-26,1.0007047638473128
2020-03-27,1.0000809029301903
2020-03-30,0.9977671191944937
2020-03-31,1.002000507402597
2020-04-01,0.9955952932153659
2020-04-02,0.9984649310177673
2020-04-03,0.9994537352420573
2020-04-07,1.0093955835006447
2020-04-08,1.008953913364598
2020-04-09,1.0109701107938183
2020-04-10,1.0100683881705286
2020-04-13,1.0100030282096106
2020-04-14,1.0158560191332406
2020-04-15,1.0140076316767888
2020-04-16,1.0161936547495403
2020-04-17,1.0151367428467204
2020-04-20,1.0162245330470254
2020-04-21,1.0142946969746178
2020-04-22,1.018722748668343
2020-04-23,1.0201941943346426
2020-04-24,1.019700911088882
2020-04-27,1.0221222238149417
2020-04-28,1.0228627089724547
2020-04-29,1.0235349526402662
2020-04-30,1.0237259420409388
2020-05-06,1.0240161071230587
2020-05-07,1.025009226957135
2020-05-08,1.0298534967345103
2020-05-11,1.0264526236993672
2020-05-12,1.0287204706394621
2020-05-13,1.0314820121078812
2020-05-14,1.0292371699215623
2020-05-15,1.0303531159488213
2020-05-18,1.0385860231063155
2020-05-19,1.0402744460112512
2020-05-20,1.0394946972845722
2020-05-21,1.0378727816690492
2020-05-22,1.0293207587264037
2020-05-25,1.0335275671612725
2020-05-26,1.0402756203020742
2020-05-27,1.0350572129993092
2020-05-28,1.03483704853607
2020-05-29,1.039631106637181
2020-06-01,1.0482170117279308
2020-06-02,1.046893453270145
2020-06-03,1.0472411439822724
2020-06-04,1.0480057851703235
2020-06-05,1.050633428707832
2020-06-08,1.049221464185875
2020-06-09,1.053204211729833
2020-06-10,1.0567174525615821
2020-06-11,1.0530559268938626
2020-06-12,1.0555178552800464
2020-06-15,1.0537328716985759
2020-06-16,1.0619995649159288
2020-06-17,1.0649220095986867
2020-06-18,1.0632017215222545
2020-06-19,1.0698379980762462
2020-06-22,1.0717610523517702
2020-06-23,1.0765612119834618
2020-06-24,1.0770701756479666
2020-06-29,1.0770213377485278
2020-06-30,1.0836584957234792
2020-07-01,1.0876037887477892
2020-07-02,1.098088913446838
2020-07-03,1.1152873018695622
2020-07-06,1.1455880831886436
2020-07-07,1.1547392473421
2020-07-08,1.1770915151174732
2020-07-09,1.198403971049231
2020-07-10,1.194941045231065
2020-07-13,1.2195808717879564
2020-07-14,1.2135048871065532
2020-07-15,1.2070901105573753
2020-07-16,1.1591369038638957
2020-07-17,1.1601787281194846
2020-07-20,1.176522944034181
2020-07-21,1.1893052707133955
2020-07-22,1.2039779818605307
2020-07-23,1.214078780024418
2020-07-24,1.1739005262938729
2020-07-27,1.1879062716944018
2020-07-28,1.1938999399272217
2020-07-29,1.2191658145568758
2020-07-30,1.2143443713655553
2020-07-31,1.230582552824651
2020-08-03,1.2460148527562618
2020-08-04,1.2413037311318924
2020-08-05,1.255799037880964
2020-08-06,1.2549900331503643
2020-08-07,1.2509262758377002
2020-08-10,1.245625754095288
2020-08-11,1.233206632467074
2020-08-12,1.2100285398926165
2020-08-13,1.2109299417332617
2020-08-14,1.2189415189184691
2020-08-17,1.2293489029993343
2020-08-18,1.2399188839199995
2020-08-19,1.2252282055156676
2020-08-20,1.2158346027120366
2020-08-21,1.219496276721685
2020-08-24,1.2240315758838005
2020-08-25,1.222195457222341
2020-08-26,1.218132843287191
2020-08-27,1.2272190850275817
2020-08-28,1.2384886573261598
2020-08-31,1.2390609166794302
2020-09-01,1.2449389708415097
2020-09-02,1.244735463797264
2020-09-03,1.234814260767046
2020-09-04,1.227422247396876
2020-09-07,1.2186358718862
2020-09-08,1.215411479693129
2020-09-09,1.2115637773263122
2020-09-10,1.2090394523651824
2020-09-11,1.211902530785889
2020-09-14,1.2154340946285718
2020-09-15,1.2198554905890824
2020-09-16,1.2147750960083712
2020-09-17,1.207679605397645
2020-09-18,1.2124347589739328
2020-09-21,1.2086878988483747
2020-09-22,1.206642537815004
2020-09-23,1.203644844834435
2020-09-24,1.1966468555363274
2020-09-25,1.2008231537131828
2020-09-28,1.2042387990717012
2020-09-29,1.2044221295098154
2020-09-30,1.2064466346439815
2020-10-09,1.2156941806012005
2020-10-12,1.223892367257953
2020-10-13,1.2255723751458198
2020-10-14,1.2246242618442598
2020-10-15,1.223370007603912
2020-10-16,1.2228172878477572
2020-10-19,1.221225065219427
2020-10-20,1.2229535768069697
2020-10-21,1.2223036598839616
2020-10-22,1.2218456532038269
2020-10-23,1.2185453337405794
2020-10-26,1.2173433410573495
2020-10-27,1.2187191143531846
2020-10-28,1.2210494738452793
2020-10-29,1.2230313171245828
2020-10-30,1.217705762675652
2020-11-02,1.22006927636765
2020-11-03,1.228166986363319
2020-11-04,1.2310267089397335
2020-11-05,1.24051102639933
2020-11-06,1.2356859008926315
2020-11-09,1.2499532692489639
2020-11-10,1.2434013203529268
2020-11-11,1.2329364102898681
2020-11-12,1.2368011195008723
2020-11-13,1.2345545141158252
2020-11-16,1.2396485268549213
2020-11-17,1.2321450852367872
2020-11-18,1.22835115637535
2020-11-19,1.2303682571786223
2020-11-20,1.2359062558265757
2020-11-23,1.2407385508807018
2020-11-24,1.2405881298882748
2020-11-25,1.2299038081283757
2020-11-26,1.2320043855098266
2020-11-27,1.2361556918204668
2020-11-30,1.2315436827900457
2020-12-01,1.2419924259083535
2020-12-02,1.2413073404407624
2020-12-03,1.2352332740482244
2020-12-04,1.2380390380560644
2020-12-07,1.233234080728299
2020-12-08,1.233341499458314
2020-12-09,1.2266092164954754
2020-12-10,1.2273440412356
2020-12-11,1.2225013144840213
2020-12-14,1.2265283729508645
2020-12-15,1.2257273735875391
2020-12-16,1.227506277830658
2020-12-17,1.2369113187999707
2020-12-18,1.238303414639772
2020-12-21,1.247139426988672
2020-12-22,1.2330266525151072
2020-12-23,1.2392351273420614
2020-12-24,1.237585664736844
2020-12-25,1.242997048173255
2020-12-28,1.2479460438504035
2020-12-29,1.2475076750271086
2020-12-30,1.2554033057648681
2020-12-31,1.2680983062960145
2021-01-04,1.2780539732323435
2021-01-05,1.2867733084171085
2021-01-06,1.289603205201189
2021-01-07,1.2985475941359135
2021-01-08,1.2960649830589006
2021-01-11,1.286024931441361
2021-01-12,1.2962912250124026
2021-01-13,1.2935300371799408
2021-01-14,1.2855990481125874
2021-01-15,1.2822369457259872
2021-01-18,1.2838215813559575
2021-01-19,1.2788006888723342
2021-01-20,1.2887389278468915
2021-01-21,1.299391674596176
2021-01-22,1.3061807571915718
2021-01-25,1.311330114486209
2021-01-26,1.299517118823835
2021-01-27,1.2963109187382242
2021-01-28,1.2847375267714138
2021-01-29,1.2799990588430261
2021-02-01,1.2865122679891867
2021-02-02,1.2919953510282327
2021-02-03,1.2927394359777207
2021-02-04,1.2925858883864412
