label,vol_penalty,drawdown_penalty,train_start,train_end,train_trading_days,train_total_return,train_annual_return,train_annual_volatility,train_sharpe_rf0,train_max_drawdown,train_calmar,test_start,test_end,test_trading_days,test_total_return,test_annual_return,test_annual_volatility,test_sharpe_rf0,test_max_drawdown,test_calmar,selection_score
vol_0.20_dd_0.20,0.2,0.2,2020-02-04,2023-12-29,954,0.3834582909880948,0.08952279373538063,0.07181588270626112,1.2465598188292655,-0.06363293276156523,1.4068626079333102,2024-01-02,2026-06-05,586,0.5688707537429498,0.21369386648696187,0.10863612773205451,1.9670607830760216,-0.07642885481804218,2.795984147554128,2.283333333333333
vol_0.20_dd_0.15,0.2,0.15,2020-02-04,2023-12-29,954,0.395654672498152,0.09205179838296473,0.07214656482925762,1.2758999489555036,-0.06363293276156523,1.446606252266982,2024-01-02,2026-06-05,586,0.5722921437927149,0.21483138328038942,0.10934236919345378,1.9647588109262515,-0.07642885481804207,2.8108674896653763,2.05
vol_0.25_dd_0.20,0.25,0.2,2020-02-04,2023-12-29,954,0.3611959810923091,0.08486392590360459,0.07026130791349282,1.2078329940582777,-0.06514847888461317,1.3026232900066654,2024-01-02,2026-06-05,586,0.5766881548803953,0.21629086543172904,0.10269758962154941,2.106094858007689,-0.07680212297929567,2.816209461944649,2.0
vol_0.25_dd_0.10,0.25,0.1,2020-02-04,2023-12-29,954,0.38886728305512563,0.09064640217099318,0.07097261175271588,1.2772025705750423,-0.06363293276156567,1.4245202639118915,2024-01-02,2026-06-05,586,0.5633818005281468,0.21186598497768094,0.10361054070294509,2.0448304153252885,-0.07642885481804218,2.772068029569204,1.9833333333333334
vol_0.25_dd_0.15,0.25,0.15,2020-02-04,2023-12-29,954,0.3750276484802322,0.08776503539158687,0.07051322464391663,1.2446606411037053,-0.06406248029307937,1.3699912177934839,2024-01-02,2026-06-05,586,0.5719013612298296,0.2147015303890678,0.10261618171074942,2.092277522021432,-0.07642885481804207,2.809168486172118,1.966666666666667
vol_0.05_dd_0.00,0.05,0.0,2020-02-04,2023-12-29,954,0.40275842866633993,0.09351732530612011,0.07939435434899281,1.177883818980971,-0.06920079874940455,1.351390836466679,2024-01-02,2026-06-05,586,0.6106500927135754,0.22748892307566382,0.12546695524229773,1.8131381496932364,-0.07209437590184764,3.155432309801488,1.7333333333333336
vol_0.00_dd_0.00,0.0,0.0,2020-02-04,2023-12-29,954,0.40972402580151335,0.09494905622102578,0.08545807783346542,1.1110600498885046,-0.09117604394580392,1.0413816185912232,2024-01-02,2026-06-05,586,0.673575028004282,0.2478864336984936,0.12785758672153202,1.9387698458471527,-0.07129510241155557,3.476906902630607,1.7000000000000002
vol_0.25_dd_0.00,0.25,0.0,2020-02-04,2023-12-29,954,0.3978956086513785,0.09251470193453026,0.06775650591132898,1.3653995389845166,-0.063397215248709,1.4592865249931335,2024-01-02,2026-06-05,586,0.5430870585403191,0.20507565850085285,0.10395262013449887,1.9727800822674424,-0.07642885481804207,2.6832229658430253,1.633333333333333
vol_0.15_dd_0.20,0.15,0.2,2020-02-04,2023-12-29,954,0.4077981636728065,0.09455373003806167,0.07308681388098448,1.2937180459396438,-0.06363293276156567,1.4859244409236496,2024-01-02,2026-06-05,586,0.55756495900281,0.20992491653139633,0.11440901523942104,1.8348634160698911,-0.07642885481804218,2.7466709664978572,1.6166666666666667
vol_0.25_dd_0.05,0.25,0.05,2020-02-04,2023-12-29,954,0.40732648800874416,0.09445684741923621,0.07073063239389846,1.3354446895541185,-0.06363293276156534,1.4844019176857537,2024-01-02,2026-06-05,586,0.5542911232544809,0.20883062656748086,0.10453925926967308,1.9976287188794226,-0.07642885481804218,2.732353206974694,1.4666666666666666
vol_0.00_dd_0.05,0.0,0.05,2020-02-04,2023-12-29,954,0.42414786068443133,0.09789730677571451,0.08242792368254967,1.1876716336170405,-0.07660754919489388,1.2779067833988307,2024-01-02,2026-06-05,586,0.6736026408032876,0.2478952877326035,0.12741539680712882,1.9455677566805167,-0.07129510241155557,3.477031091162644,1.4666666666666663
vol_0.10_dd_0.00,0.1,0.0,2020-02-04,2023-12-29,954,0.41124277258807673,0.09526053271562795,0.07539047300688173,1.2635619451138402,-0.06744859111160151,1.4123428102153885,2024-01-02,2026-06-05,586,0.6453067588743564,0.23877815881257947,0.1220240352153008,1.9568125114964128,-0.0758513764828096,3.1479739707386116,1.3666666666666667
vol_0.15_dd_0.15,0.15,0.15,2020-02-04,2023-12-29,954,0.4193416486659569,0.09691736177956112,0.0733790832566558,1.320776404913321,-0.06367822169320447,1.5219859977638763,2024-01-02,2026-06-05,586,0.5625140654847751,0.211576685056857,0.11399895788887797,1.8559527997009784,-0.07642885481804207,2.7682828109955073,1.1999999999999997
vol_0.00_dd_0.10,0.0,0.1,2020-02-04,2023-12-29,954,0.43009109383716915,0.0991057210432309,0.07986465167025712,1.2409209702987969,-0.06813740969552418,1.4544979253847534,2024-01-02,2026-06-05,586,0.7257487750631084,0.26446975162510733,0.12805615255685543,2.0652639201204006,-0.0711040040871479,3.7194776162107925,1.0333333333333332
vol_0.05_dd_0.20,0.05,0.2,2020-02-04,2023-12-29,954,0.4338262455502415,0.0998632849427834,0.07518056728083793,1.3283124689621306,-0.06348815914214267,1.5729434636654216,2024-01-02,2026-06-05,586,0.6285985060757873,0.2333526263032406,0.12374929334544059,1.8856885562315677,-0.07067984113939907,3.3015442952539806,0.9666666666666667
vol_0.10_dd_0.20,0.1,0.2,2020-02-04,2023-12-29,954,0.4215202448021311,0.0973618607340978,0.073714036791481,1.320804896488178,-0.06409901388281969,1.5189291509552143,2024-01-02,2026-06-05,586,0.5932971669294329,0.22178424735615798,0.12250083473852251,1.810471314987816,-0.07642885481804207,2.9018392056791984,0.9333333333333332
vol_0.00_dd_0.20,0.0,0.2,2020-02-04,2023-12-29,954,0.43649242295566504,0.10040315157323221,0.07715235738783424,1.3013620707468396,-0.0634881591421429,1.5814468860002817,2024-01-02,2026-06-05,586,0.6612448456094366,0.2439244130936289,0.12910269706650246,1.8893827831341146,-0.07067984113939862,3.4511171666691767,0.9166666666666667
vol_0.10_dd_0.10,0.1,0.1,2020-02-04,2023-12-29,954,0.4222493608316429,0.09751051031348723,0.07382962239097283,1.3207504949315556,-0.0640990138828198,1.5212482128312832,2024-01-02,2026-06-05,586,0.6243966013472528,0.23198318949168772,0.12199785946281543,1.9015349163760984,-0.07585137648280948,3.0583912942471523,0.9
vol_0.20_dd_0.10,0.2,0.1,2020-02-04,2023-12-29,954,0.42701574234186657,0.09848088424051582,0.07244691441051418,1.3593523622342616,-0.06363293276156479,1.5476401914324418,2024-01-02,2026-06-05,586,0.5534286874380117,0.20854213608750927,0.10946777212366642,1.9050550864588522,-0.07642885481804218,2.7285785791766144,0.7666666666666666
vol_0.10_dd_0.05,0.1,0.05,2020-02-04,2023-12-29,954,0.4259438077595261,0.0982628602664899,0.07406526226311175,1.3267064378631084,-0.06392940258509983,1.5370526908285584,2024-01-02,2026-06-05,586,0.6417862064365043,0.2376375796161141,0.12277048975813783,1.935624595815073,-0.0758513764828096,3.132936943734575,0.7666666666666666
vol_0.20_dd_0.00,0.2,0.0,2020-02-04,2023-12-29,954,0.42470038427345336,0.09800980551231953,0.07284447390784239,1.3454665845526526,-0.06367822169320458,1.539141686219209,2024-01-02,2026-06-05,586,0.5486389010427051,0.2069382570446614,0.11130223220002683,1.8592462429033971,-0.07642885481804218,2.7075933237169285,0.7333333333333334
vol_0.20_dd_0.05,0.2,0.05,2020-02-04,2023-12-29,954,0.42708234847463533,0.09849442748337789,0.07266418847180746,1.3554741276934807,-0.06367822169320436,1.5467521683930607,2024-01-02,2026-06-05,586,0.5298667897986278,0.2006249317776878,0.1094365316299794,1.8332537479900173,-0.07642885481804218,2.62498937417452,0.5999999999999999
vol_0.00_dd_0.15,0.0,0.15,2020-02-04,2023-12-29,954,0.45649841327605856,0.10443076224425196,0.07815642574361133,1.336176280461346,-0.06348815914214245,1.6448856551415183,2024-01-02,2026-06-05,586,0.6824499720459882,0.25072790591584604,0.12764720032990026,1.9642256568718113,-0.07067984113939885,3.547375063016144,0.4333333333333333
