参数组,取值,年化,Sharpe净5bps,MDD,年化换手,Sharpe@1亿
基线,V2 默认,0.07568168205656334,1.0174966219123773,-0.07602580249343494,5.768419470424936,0.8868444669866755
lam(部分再平衡),lam=0.3,0.07147229265043475,1.0055800810730395,-0.07697262372132962,4.424142461171736,0.919300175012488
lam(部分再平衡),lam=0.4,0.07568168205656334,1.0174966219123773,-0.07602580249343494,5.768419470424936,0.8868444669866755
lam(部分再平衡),lam=0.6,0.08417481885041456,1.0546619041523615,-0.07543823251621973,8.33339844538586,0.81757586758826
lam(部分再平衡),lam=1.0,0.10135116094129915,1.1397841191250808,-0.07422982751233242,13.183485712514583,0.5983398952307
buffer_rank(滞后带),buffer=25,0.07581509934264075,1.0190235859821342,-0.07566569873547335,6.0272263252270255,0.8843684493632359
buffer_rank(滞后带),buffer=35,0.07568168205656334,1.0174966219123773,-0.07602580249343494,5.768419470424936,0.8868444669866755
buffer_rank(滞后带),buffer=50,0.07396011841175487,0.9923935489009315,-0.07772273239611271,5.55364448603413,0.8621052649781868
buffer_rank(滞后带),buffer=999,0.05690571603327399,0.6860933258256671,-0.16144302831178792,0.5316489613264285,0.680645571855596
top_n(持仓数),top_n=15,0.08858058266386903,0.9303711046244554,-0.10768538648630377,6.175011638774473,0.7572455623628939
top_n(持仓数),top_n=20,0.07568168205656334,1.0174966219123773,-0.07602580249343494,5.768419470424936,0.8868444669866755
top_n(持仓数),top_n=25,0.06856592034651676,1.1207042709793382,-0.06554838269760432,5.441249716390768,1.009791495621565
top_n(持仓数),top_n=30,0.05579911769700385,1.1065808636523575,-0.0574686981866005,5.243026112256946,0.9905134723795422
max_per_theme(同主题上限),≤2,0.07835840007646877,1.0326540345559045,-0.0979962619927145,5.524701325759805,0.8624517245526633
max_per_theme(同主题上限),≤3,0.07568168205656334,1.0174966219123773,-0.07602580249343494,5.768419470424936,0.8868444669866755
max_per_theme(同主题上限),≤4,0.07709757188278132,0.9484102308868072,-0.08655011799466628,6.023177583859969,0.8219357012822216
max_weight(单票上限),10%,0.08590779567548967,1.0155901961821923,-0.09136260162025245,5.9394914066352955,0.8708783151964933
max_weight(单票上限),12%,0.07568168205656334,1.0174966219123773,-0.07602580249343494,5.768419470424936,0.8868444669866755
max_weight(单票上限),15%,0.06486665979284156,1.0232298177107764,-0.06695851792603869,5.594336631990668,0.9063234914122433
max_weight(单票上限),20%,0.051665519138358595,0.9932925876804793,-0.0569953981412874,5.372756652383368,0.8904666828803626
volatility_target(波动目标),0.15,0.07362118640197735,1.034206056894726,-0.07306332172408869,5.727427333978751,0.9003477155950989
volatility_target(波动目标),0.18,0.07568168205656334,1.0174966219123773,-0.07602580249343494,5.768419470424936,0.8868444669866755
volatility_target(波动目标),0.25,0.07729140439515847,0.9936101664776069,-0.08129100047046045,5.8174029088520065,0.8668320010032335
volatility_target(波动目标),关闭,0.07741396721052474,0.992246145425806,-0.08196022921237878,5.824864839131281,0.8656866027546956
