配置,年化,Sharpe,MDD,滚动S<0占比,年化换手,S@1亿,S@5亿
含弱市 + lam1.0（≈V1完整）,0.0892844263762338,1.111467496987551,-0.07422982751233242,0.08654383026242322,13.580987959044688,0.6426108336065384,0.09485596549494353
含弱市 + lam0.4（你问的）,0.06774593146227725,1.0436779000643266,-0.06897133550107382,0.09994416527079844,5.511440431865149,0.9356008373835177,0.8017495307201923
去弱市 + lam1.0,0.10130087389424292,1.1388871372185398,-0.07422982751233242,0.16024567280848687,15.999747573124475,0.5023400369806554,-0.19650429916611103
去弱市 + lam0.4（≈V2）,0.07637472558799518,1.0273785520483998,-0.07578562266217914,0.14349525404801786,6.403563731735099,0.8851764101136034,0.7096338380619216
