date,S0 三因子·原风险层(现状),S1 三因子·松风险层,S2 +low_corr(0.20)·松,S3 ++resid_mom(0.20)·松,S4 +++dd_resil(0.15)·松
2020-02-04,1.012166504419376,1.012166504419376,1.0113246356221608,1.0111890314247776,1.011184682755084
2020-02-05,1.019282050851835,1.019282050851835,1.018439567936469,1.01862980938805,1.0187875716578105
2020-02-06,1.028262265792642,1.028262265792642,1.0269537411717038,1.0268374159837648,1.0270994151652066
2020-02-07,1.0282218079118244,1.0282218079118244,1.0270371154238838,1.027081508309748,1.027093343802797
2020-02-10,1.0303355530642693,1.0303355530642693,1.0290049396508705,1.0298175443698772,1.0298952826191876
2020-02-11,1.031333663232266,1.031333663232266,1.0298949042426218,1.0308011407884274,1.030791841680623
2020-02-12,1.0351407993618145,1.0351407993618145,1.033867111632825,1.0355987317216109,1.0355282016643363
2020-02-13,1.0336208251502979,1.0336208251502979,1.032557006054226,1.034930128147611,1.0348013604376536
2020-02-14,1.0353390990164735,1.0353390990164735,1.0339964049568113,1.036224646148275,1.036225635417734
2020-02-17,1.0425714840415714,1.0425714840415714,1.0403609262256484,1.0423681064699253,1.0423813007200182
2020-02-18,1.0433254658305062,1.0433254658305062,1.0413359576419583,1.043599317000956,1.0436353746753355
2020-02-19,1.0437031303707227,1.0437031303707227,1.0421099497931978,1.0438821096101494,1.0438324054582682
2020-02-20,1.0488122930798456,1.0488122930798456,1.045787191507658,1.0466727601194712,1.0465863691358916
2020-02-21,1.051642236649385,1.051642236649385,1.0483787964009763,1.0497782616568738,1.0497077199905163
2020-02-24,1.050375488889796,1.050375488889796,1.046261893222983,1.0475723153209822,1.0477118479760685
2020-02-25,1.0465610777987064,1.0465610777987064,1.04181381973639,1.0429671465019634,1.0432374712341763
2020-02-26,1.0406390885164014,1.0406390885164014,1.036173908858872,1.037013166030068,1.0372462333842498
2020-02-27,1.0374409005376046,1.0374409005376046,1.0312496320319722,1.0319103114960875,1.032140143545293
2020-02-28,1.0250337166893493,1.0250337166893493,1.0185329053373176,1.0187777469809987,1.0190300858973662
2020-03-02,1.0357796968876667,1.0357796968876667,1.0277514212458345,1.027846737131377,1.0280481721450654
2020-03-03,1.0384284340962597,1.0384284340962597,1.0304904374649253,1.030771366794316,1.0308082608635443
2020-03-04,1.0450577963461423,1.0450577963461423,1.0372081954743166,1.0376381460533912,1.037462891908099
2020-03-05,1.0530417958378406,1.0530417958378406,1.0451180093170847,1.045397632613301,1.0452490590822945
2020-03-06,1.0519005955300358,1.0519005955300358,1.0442435645217383,1.044508633258148,1.044361012176907
2020-03-09,1.039270325045623,1.039270325045623,1.0320875556571922,1.0324945614395509,1.0323326465523242
2020-03-10,1.0441844441289299,1.0441844441289299,1.0366099032188494,1.0372450419194557,1.0368665650934592
2020-03-11,1.0394918984815216,1.0394918984815216,1.0319567174169904,1.0325010590143708,1.0323363881950032
2020-03-12,1.0264674581074684,1.0264674581074684,1.0189118046233385,1.0194894020053067,1.019512768854308
2020-03-13,1.0217777551091203,1.0217777551091203,1.014127636443978,1.0149868625129908,1.0148821882478756
2020-03-16,0.9981138614814351,0.9981138614814351,0.9906553082943325,0.9911828839189148,0.9915318966768036
2020-03-17,0.9940971172503295,0.9940971172503295,0.9863566229309872,0.9868885711787743,0.9871628179379602
2020-03-18,0.9909498092465381,0.9909498092465381,0.9832339845909744,0.9837281103492042,0.9838288742255115
2020-03-19,0.9874062319421435,0.9874062319421435,0.9796100938372084,0.9804807252544377,0.9799262947586207
2020-03-20,0.9946497307226144,0.9946497307226144,0.9869100279456647,0.9877114068422637,0.9873895090392727
2020-03-23,0.9856200426707366,0.9856200426707366,0.9781887310524942,0.9790035960024768,0.9786753613016855
2020-03-24,1.005022512613726,1.005022512613726,0.997441428482466,0.9982162199979523,0.9978335337171481
2020-03-25,1.0161729343451067,1.0161729343451067,1.008405123309858,1.0092612915693424,1.0090133116442503
2020-03-26,1.019960561932365,1.019960561932365,1.0122001910818976,1.013122602643674,1.0129673176290206
