date,wf_5factor_select,f3_baseline
2023-01-03,1.0,1.0
2023-01-04,0.9996976713225021,0.9996976713225021
2023-01-05,0.9970643779725693,0.9970643779725693
2023-01-06,0.9946151922935287,0.9946151922935287
2023-01-09,0.9972089886263499,0.9972089886263499
2023-01-10,0.9975593992388629,0.9975593992388629
2023-01-11,0.9987438498091847,0.9987438498091847
2023-01-12,1.0002422210689048,1.0002422210689048
2023-01-13,1.0015212439638088,1.0015212439638088
2023-01-16,1.003103497814863,1.003103497814863
2023-01-17,1.0033849574620908,1.0033849574620908
2023-01-18,1.0049713429039606,1.0049713429039606
2023-01-19,1.0059005041582263,1.0059005041582263
2023-01-20,1.0075356101296817,1.0075356101296817
2023-01-30,1.0082687430241746,1.0082687430241746
2023-01-31,1.0065392345562758,1.0065392345562758
2023-02-01,1.007432972040911,1.007432972040911
2023-02-02,1.0101239437360978,1.0101239437360978
2023-02-03,1.00414780432697,1.00414780432697
2023-02-06,0.9991629412799132,0.9991629412799132
2023-02-07,0.9960120937127777,0.9960120937127777
2023-02-08,0.9963533008235204,0.9963533008235204
2023-02-09,0.9969393857207735,0.9969393857207735
2023-02-10,0.9955310527597905,0.9955310527597905
2023-02-13,0.9966435919673008,0.9966435919673008
2023-02-14,0.9955879249915615,0.9955879249915615
2023-02-15,0.9943995120539336,0.9943995120539336
2023-02-16,0.9919678750718839,0.9919678750718839
2023-02-17,0.9923420065650966,0.9923420065650966
2023-02-20,0.9941140840818471,0.9941140840818471
2023-02-21,0.9957274395486753,0.9957274395486753
2023-02-22,0.9990245392727598,0.9990245392727598
2023-02-23,0.9964689539657273,0.9964689539657273
2023-02-24,0.9960462528043847,0.9960462528043847
2023-02-27,0.9933060033706169,0.9933060033706169
2023-02-28,0.9923493345777302,0.9923493345777302
2023-03-01,0.991572834559411,0.991572834559411
2023-03-02,0.9910711502241089,0.9910711502241089
2023-03-03,0.9935536704682302,0.9935536704682302
2023-03-06,0.9950743392218877,0.9950743392218877
2023-03-07,0.9921692587794123,0.9921692587794123
2023-03-08,0.9896455051192463,0.9896455051192463
2023-03-09,0.9897846355657026,0.9897846355657026
2023-03-10,0.9874875355015771,0.9874875355015771
2023-03-13,0.989991476947113,0.989991476947113
2023-03-14,0.9896834439406519,0.9896834439406519
2023-03-15,0.9871937209946726,0.9871937209946726
2023-03-16,0.9857065148574252,0.9857065148574252
2023-03-17,0.986667162066207,0.986667162066207
2023-03-20,0.9911877643868036,0.9911877643868036
2023-03-21,0.9927324360771675,0.9927324360771675
2023-03-22,0.9925514615795816,0.9925514615795816
2023-03-23,0.996578208684859,0.996578208684859
2023-03-24,0.9937481041602031,0.9937481041602031
2023-03-27,0.9946964166043113,0.9946964166043113
2023-03-28,0.9947821950681386,0.9947821950681386
2023-03-29,0.9959878538302266,0.9959878538302266
2023-03-30,0.9995064437533441,0.9995064437533441
2023-03-31,1.0020481566075339,1.0020481566075339
2023-04-03,1.0002101852784355,1.0002101852784355
2023-04-04,1.0019634115028784,1.0019634115028784
2023-04-06,1.0009296118930107,1.0009296118930107
2023-04-07,1.0065913068517582,1.0065913068517582
2023-04-10,0.9931119261518386,0.9931119261518386
2023-04-11,0.9989421549829341,0.9989421549829341
2023-04-12,1.0085940332483296,1.0085940332483296
2023-04-13,1.0049312701650415,1.0049312701650415
2023-04-14,1.0062838573975463,1.0062838573975463
2023-04-17,0.999660335857228,0.999660335857228
2023-04-18,1.0002534217655574,1.0002534217655574
2023-04-19,1.000206108311597,1.000206108311597
2023-04-20,1.0082947681322676,1.0082947681322676
2023-04-21,0.9984392225647852,0.9984392225647852
2023-04-24,1.0024161224353634,1.0024161224353634
2023-04-25,1.0058885366458314,1.0058885366458314
2023-04-26,1.0014813661654691,1.0014813661654691
2023-04-27,0.9950316630312902,0.9950316630312902
2023-04-28,1.0076685873265925,1.0076685873265925
2023-05-04,1.0123529992871867,1.0123529992871867
2023-05-05,1.0134041615058458,1.0134041615058458
2023-05-08,1.0153305121988938,1.0153305121988938
2023-05-09,1.0110107954098722,1.0110107954098722
2023-05-10,1.0080866315801282,1.0080866315801282
2023-05-11,1.0085719688637782,1.0085719688637782
2023-05-12,1.0051936947097833,1.0051936947097833
2023-05-15,1.0075429491546384,1.0075429491546384
2023-05-16,1.0049834772539321,1.0049834772539321
2023-05-17,1.0026314560095329,1.0026314560095329
2023-05-18,1.0049741202635218,1.0049741202635218
2023-05-19,1.0026793576583342,1.0026793576583342
2023-05-22,1.0032098212615723,1.0032098212615723
2023-05-23,1.0004117588127526,1.0004117588127526
2023-05-24,0.997559650050552,0.997559650050552
2023-05-25,0.9948142947656815,0.9948142947656815
2023-05-26,0.9969988421148792,0.9969988421148792
2023-05-29,0.9963383326919518,0.9963383326919518
2023-05-30,0.9992319269642298,0.9992319269642298
2023-05-31,0.9983577782168909,0.9983577782168909
2023-06-01,0.9999270988798016,0.9999270988798016
2023-06-02,1.000832541167418,1.000832541167418
2023-06-05,1.0010709630280061,1.0010709630280061
2023-06-06,0.99816260999485,0.99816260999485
2023-06-07,0.997208676455512,0.997208676455512
2023-06-08,0.9977558366794657,0.9977558366794657
2023-06-09,1.0012650816337507,1.0012650816337507
2023-06-12,1.0019310181628984,1.0019310181628984
