dt,long_g,long_n,to_l,ls_g,ls_n,to_ls,med_cap,bench,long_excess
2018-01-31,-0.05212260513668763,-0.05212260513668763,0.5000000000000001,0.006951578367625874,0.006951578367625874,1.0000000000000002,2818681350.0,-0.026766015961957934,-0.025356589174729695
2018-02-28,0.10845859793993584,0.10845859793993584,0.6547231270358307,0.07181362804413155,0.07181362804413155,1.3475335845521708,2529983310.0,0.015117178427727973,0.09334141951220787
2018-03-30,-0.03639774460111369,-0.03639774460111369,0.6806451612903228,0.021229511279410314,0.021229511279410314,1.3958555172773779,2764244230.0,-0.04149875268572423,0.005101008084610538
2018-04-27,0.01927912288116908,0.01927912288116908,0.694267515923567,0.051805674312759314,0.051805674312759314,1.361999145316538,2801586385.0,-0.018172545770471338,0.037451668651640416
2018-05-31,-0.10326643707522963,-0.10326643707522963,0.7617554858934168,0.01140889735201013,0.01140889735201013,1.5353403915537942,2834553900.0,-0.09326845628836689,-0.009997980786862745
2018-06-29,0.02741088420028825,0.02741088420028825,0.7962382445141063,0.07944041726289554,0.07944041726289554,1.5446659174700812,2637720000.0,-0.005566944001300311,0.032977828201588566
2018-07-31,-0.075884942900741,-0.075884942900741,0.8096676737160119,0.029673655759885148,0.029673655759885148,1.5308797949281332,4422600000.0,-0.07205885385539434,-0.0038260890453466617
2018-08-31,0.00943738742580735,0.00943738742580735,0.8136094674556212,0.03153157563822425,0.03153157563822425,1.5465471529155619,4161100570.0,-0.0029274174923110685,0.012364804918118418
2018-09-28,-0.07351910222939845,-0.07351910222939845,0.780058651026393,0.051746821968487455,0.051746821968487455,1.4771174745558047,3230000000.0,-0.1100201656873363,0.036501063457937855
2018-10-31,0.09809252895307773,0.09809252895307773,0.8181818181818182,0.07952990453439039,0.07952990453439039,1.6064171122994653,2919497050.0,0.024364595211480156,0.07372793374159757
2018-11-30,-0.02263044174586256,-0.02263044174586256,0.8275862068965517,0.03674185456202451,0.03674185456202451,1.628738944648713,2499859800.0,-0.04766544099586645,0.025034999250003888
2018-12-28,-0.017614040754121995,-0.017614040754121995,0.7828571428571428,0.06648839063533507,0.06648839063533507,1.5335734752353662,2636094200.0,0.002024454683212884,-0.01963849543733488
2019-01-31,0.23011158281248378,0.23011158281248378,0.8085714285714285,-0.014084584647652776,-0.014084584647652776,1.6395169873106834,2075756800.0,0.20323770721426726,0.026873875598216523
2019-02-28,0.11555275953659658,0.11555275953659658,0.6878612716763006,0.02816333171332283,0.02816333171332283,1.3980061992125326,2513428800.0,0.10394721420112774,0.011605545335468842
2019-03-29,-0.020184963265185575,-0.020184963265185575,0.7514450867052023,0.06311398280641795,0.06311398280641795,1.5021697243863619,2762373400.0,-0.04327881901833852,0.023093855753152946
2019-04-30,-0.01272081570176125,-0.01272081570176125,0.7275362318840579,0.061629621347586976,0.061629621347586976,1.5414897202561508,3076266680.0,-0.07452746648177322,0.06180665078001197
2019-05-31,0.019381811012472185,0.019381811012472185,0.813953488372093,0.05437869471696026,0.05437869471696026,1.5923791443487691,2702539365.0,0.007833671043633528,0.011548139968838658
2019-06-28,-0.010532478000592182,-0.010532478000592182,0.7931034482758621,0.043583600930208605,0.043583600930208605,1.4933916327139023,3044413695.0,-0.009549983031948206,-0.0009824949686439762
2019-07-31,-0.017418396306124743,-0.017418396306124743,0.7942857142857143,-0.01868532202031548,-0.01868532202031548,1.527810069586574,2582317260.0,-0.0034077724295732414,-0.014010623876551501
2019-08-30,0.02052021272544886,0.02052021272544886,0.7857142857142857,0.042356641305592316,0.042356641305592316,1.4418747441670077,2494726775.0,0.01113456805636126,0.0093856446690876
2019-09-30,0.00270100665358293,0.00270100665358293,0.754985754985755,0.026225567665960278,0.026225567665960278,1.5235571835571835,2597331210.0,-0.004753382124684458,0.007454388778267387
2019-10-31,-0.015676422912590648,-0.015676422912590648,0.7321937321937323,0.026598515905479455,0.026598515905479455,1.457908017908018,2532039600.0,-0.004570488937586603,-0.011105933975004045
2019-11-29,0.08046486347951344,0.08046486347951344,0.7903682719546744,-0.010175513779843687,-0.010175513779843687,1.5148000901364926,2327617540.0,0.07614390528018511,0.004320958199328331
2019-12-31,-0.01454040484556956,-0.01454040484556956,0.736543909348442,-0.03459176914119426,-0.03459176914119426,1.424043909348442,2451061275.0,0.02089712665694954,-0.0354375315025191
2020-01-23,-0.009475253970991693,-0.009475253970991693,0.6846590909090908,-0.04847770120754767,-0.04847770120754767,1.402607808857809,2280496710.0,0.013676560473998345,-0.023151814444990038
2020-02-28,0.020175823530911477,0.020175823530911477,0.6942857142857143,0.10805559258934641,0.10805559258934641,1.4793860008186657,1967070000.0,-0.07518165425064516,0.09535747778155663
2020-03-31,0.032921017672064706,0.032921017672064706,0.7247191011235956,0.055421372219283144,0.055421372219283144,1.5359867067573982,2307814550.0,0.06196765099267987,-0.02904663332061516
2020-04-30,0.039207953228918464,0.039207953228918464,0.7191011235955056,0.03753943879696984,0.03753943879696984,1.4514954897926886,2048221240.0,0.009802273499867509,0.029405679729050956
2020-05-29,0.061446226798897274,0.061446226798897274,0.6883852691218131,0.0024307909200824845,0.0024307909200824845,1.4355443600309041,2103885810.0,0.08472941028496184,-0.023283183486064563
2020-06-30,0.14708411397497806,0.14708411397497806,0.6892655367231639,0.0286009803800317,0.0286009803800317,1.4371408908308125,2108384470.0,0.12196508569651265,0.025119028278465405
2020-07-31,0.06231458137509746,0.06231458137509746,0.7146892655367232,0.08342363833619539,0.08342363833619539,1.4370688689361568,2640530180.0,0.013490494204116521,0.04882408717098094
2020-08-31,-0.05439100535715968,-0.05439100535715968,0.736842105263158,0.015319450948708221,0.015319450948708221,1.5007309941520468,3037323570.0,-0.07137029044154752,0.01697928508438784
2020-09-30,0.015950053811371705,0.015950053811371705,0.7424657534246575,-0.007062994424347529,-0.007062994424347529,1.4292789402378445,2744219150.0,-0.013084365696919176,0.02903441950829088
2020-10-30,0.03357883170429781,0.03357883170429781,0.7465940054495912,0.06478483117543081,0.06478483117543081,1.4159929125534165,3447825140.0,0.03427385837800356,-0.0006950266737057523
2020-11-30,-0.0169554385801913,-0.0169554385801913,0.8179347826086956,0.023019714963331744,0.023019714963331744,1.542730422935671,3724269515.0,0.007304446930711528,-0.02425988551090283
2020-12-31,-0.08292645723064733,-0.08292645723064733,0.7989130434782609,0.02431327498650762,0.02431327498650762,1.5373326620068712,2501688285.0,-0.0032947418100662818,-0.07963171542058105
2021-01-29,0.027178038116070707,0.027178038116070707,0.7367021276595744,0.014136571927417702,0.014136571927417702,1.5233687943262413,2390246045.0,0.002870407619627535,0.02430763049644317
2021-02-26,0.02420788263015048,0.02420788263015048,0.6544502617801047,0.0445300299185696,0.0445300299185696,1.3316156161108135,2268898900.0,-0.01732823430755659,0.04153611693770707
2021-03-31,0.02892309824382273,0.02892309824382273,0.7881136950904393,0.07540233337780142,0.07540233337780142,1.544590379028263,5429899800.0,0.03703796087987499,-0.008114862636052256
2021-04-30,0.0543112574752463,0.0543112574752463,0.7183462532299743,-0.04449085900243449,-0.04449085900243449,1.5007296729190933,4545540000.0,0.03751063106757191,0.016800626407674393
2021-05-31,0.056393322180969103,0.056393322180969103,0.6879795396419437,0.03964709760851798,0.03964709760851798,1.362338514000918,4879429800.0,0.011768777815277298,0.044624544365691805
2021-06-30,-0.008603150129603715,-0.008603150129603715,0.6982543640897756,-0.055462426459275946,-0.055462426459275946,1.4157543640897754,6431640970.0,-0.006002629482785626,-0.002600520646818089
2021-07-30,0.06049949223707583,0.06049949223707583,0.6766169154228856,0.05202138904700146,0.05202138904700146,1.3324772645500675,3986837765.0,0.07211514875321323,-0.011615656516137399
2021-08-31,-0.04543816965849221,-0.04543816965849221,0.6955445544554455,0.03929615996873748,0.03929615996873748,1.3779266884504828,4623927950.0,-0.020913418002900364,-0.02452475165559185
2021-09-30,-0.007653871869309299,-0.007653871869309299,0.7299270072992701,0.040218079408743355,0.040218079408743355,1.4591952999821967,3615959820.0,-0.011418000542822826,0.0037641286735135273
2021-10-29,0.1349511004710202,0.1349511004710202,0.7156626506024097,0.06413780189218753,0.06413780189218753,1.3436819742739072,2542617540.0,0.032788327915746374,0.10216277255527384
2021-11-30,0.0005926698082942344,0.0005926698082942344,0.7666666666666667,0.01566148357674316,0.01566148357674316,1.5017501988862372,5403320025.0,0.014704343383996843,-0.014111673575702609
2021-12-31,-0.09778461179267245,-0.09778461179267245,0.676814988290398,0.030178263238481856,0.030178263238481856,1.4279886972105857,5148900000.0,-0.10583359897991718,0.008048987187244727
2022-01-28,0.030893426125292722,0.030893426125292722,0.6906976744186046,-0.030155576882817232,-0.030155576882817232,1.4086463923673225,4321082210.0,0.04145228423850367,-0.010558858113210945
2022-02-28,-0.04364979501172027,-0.04364979501172027,0.7087155963302751,0.0067277826684044445,0.0067277826684044445,1.3615891595486662,2831346740.0,-0.07709371882892169,0.03344392381720142
2022-03-31,-0.14944634921019778,-0.14944634921019778,0.7522727272727273,0.07550133837127965,0.07550133837127965,1.431088217022158,3611005040.0,-0.1102076360628943,-0.03923871314730348
2022-04-29,0.13705870734814196,0.13705870734814196,0.740909090909091,0.07313678618220007,0.07313678618220007,1.4220024849865396,2171200000.0,0.0707785956471878,0.06628011170095416
2022-05-31,0.09831824257533167,0.09831824257533167,0.7607223476297968,0.06511051231699386,0.06511051231699386,1.4688671440098873,5006694990.0,0.07099637800504688,0.027321864570284793
2022-06-30,0.07377732802008548,0.07377732802008548,0.671875,0.058057155825095144,0.058057155825095144,1.398944351230425,4338658850.0,-0.024784949918485788,0.09856227793857127
2022-07-29,-0.019442282708667796,-0.019442282708667796,0.7114537444933919,0.07168144357873436,0.07168144357873436,1.395780455310169,2857004985.0,-0.021983713672805938,0.0025414309641381416
2022-08-31,-0.06937205861768607,-0.06937205861768607,0.7142857142857142,0.046428689238613194,0.046428689238613194,1.4697923222152296,4080034000.0,-0.07175133606877215,0.0023792774510860842
2022-09-30,0.04645239217057118,0.04645239217057118,0.6709956709956709,0.026871975317624922,0.026871975317624922,1.4193687729479485,3702428000.0,0.016283159636146793,0.030169232534424384
2022-10-31,0.05489844975826836,0.05489844975826836,0.6818181818181819,-0.009833366455422106,-0.009833366455422106,1.3759613488463813,2622261800.0,0.060105842738190196,-0.005207392979921836
2022-11-30,-0.04555349709256709,-0.04555349709256709,0.7057569296375266,0.00699158216666889,0.00699158216666889,1.3831073569879542,3375171000.0,-0.04738028510365333,0.001826788011086239
