dt,中证1000,指增(中证1000域),超额净值
2018-01-31,0.9665438523200308,0.9738194960797474,1.0072756437597166
2018-02-28,1.0011278147326854,1.0207547244734472,1.0197819707885887
2018-03-30,0.9596591611055146,0.9811833530640827,1.0224896548157518
2018-04-27,0.9299313253744766,0.9863730973009449,1.0595720462205434
2018-05-31,0.8258766848932169,0.8902660857895797,1.074893699195789
2018-06-29,0.8161589831496321,0.8909193081794343,1.0883301575480706
2018-07-31,0.7448061105499933,0.810700875189328,1.0854843341015294
2018-08-31,0.734393519431354,0.7985063166761921,1.0843318491120566
2018-09-28,0.648005767625989,0.7128142600152017,1.0955177937875649
2018-10-31,0.6844614695695441,0.7784958757538176,1.1348313082640231
2018-11-30,0.6523366409910516,0.7478090145334318,1.1433610594284154
2018-12-28,0.6413974712741508,0.7352043275317812,1.1432624100812505
2019-01-31,0.7849111965541498,0.8924560354088232,1.1319862053804546
2019-02-28,0.8704467922218924,0.9881399314741378,1.1299930702077883
2019-03-29,0.8367292695385915,0.9472264979938637,1.1269775555704835
2019-04-30,0.7854868105755713,0.912454071400978,1.1546241825055803
2019-05-31,0.7835997566782786,0.9242613187565255,1.1723390051288243
2019-06-28,0.7657323087040527,0.907775901914715,1.1781601805439046
2019-07-31,0.7632085305732919,0.8955819496148034,1.166217315914021
2019-08-30,0.7704874194688889,0.9055072565141238,1.1680194722920854
2019-09-30,0.773652486692331,0.9039375329648875,1.161196596238573
2019-10-31,0.754912119833739,0.8788374566421132,1.1570810208033262
2019-11-29,0.8197652219279934,0.9418519099997984,1.1406434224945818
2019-12-31,0.8391990056264098,0.9396067930470484,1.1108837506516458
2020-01-23,0.8645204269350842,0.9519884447443845,1.092003348954482
2020-02-28,0.7991643068062491,0.9204906348870879,1.1384263605548819
2020-03-31,0.8361299476999661,1.0159928177310413,1.2038813450675783
2020-04-30,0.8564853911988629,1.0716957755323202,1.2405772146828997
2020-05-29,0.930576884819325,1.1693661860310287,1.2463209521775158
2020-06-30,1.0516245818552146,1.3510811035873602,1.2778752449458717
2020-07-31,1.0637662238409638,1.414432849799248,1.3230405498884188
2020-08-31,0.9743999750258022,1.287212354740879,1.315187993853068
2020-09-30,0.9587909543338845,1.2723536732016947,1.3210745226100475
2020-10-30,0.9751656933454216,1.2641358836726484,1.2899800488447686
2020-11-30,0.9787167120526563,1.2611059546199186,1.282190775555823
2020-12-31,0.9283035849311932,1.1772028071521283,1.262929724554816
2021-01-29,0.9314381706753734,1.207238316914054,1.2908879851975037
2021-02-26,0.9267241436434551,1.2020864491310495,1.2919123536243553
2021-03-31,0.9397920102888978,1.2639549622767643,1.3401865545120233
2021-04-30,1.0034389587762287,1.339432142512419,1.3294524401829806
2021-05-31,1.0430997809014826,1.4169115809402828,1.353808131228435
2021-06-30,1.069411482152357,1.382288026872807,1.2865773955073898
2021-07-30,1.1380373667594899,1.451297162063546,1.2682465112357335
2021-08-31,1.0904803689702072,1.3345233573145618,1.2191995257170665
2021-09-30,1.087512179707021,1.3353145410018163,1.2232408898801788
