,多头净年化,多头净夏普,多头回撤,对500_IR,多空净夏普,多空回撤
基线(231),0.1975,0.83,-0.252,1.08,2.96,-0.103
+基本面&事件(246),0.193,0.8,-0.259,1.06,3.06,-0.115
