dt,基线多头,静态全对冲,动态对冲,中证1000
2018-02-28,1.1064993510793406,1.0676781167887162,1.1064993510793406,1.0357810588000136
2018-03-30,1.0641642072288835,1.0579173670160902,1.0641642072288835,0.992877000667905
2018-04-27,1.0869978560289557,1.1016982597501253,1.1082036194369436,0.9621201595171582
2018-05-31,0.9789621547605601,1.0926054080035146,1.099057075791787,0.8544637503107951
2018-06-29,0.9957994258465513,1.1146982820444948,1.1212804048742273,0.844409678040552
2018-07-31,0.917698428057697,1.1048570830480071,1.1113810951031649,0.7705869824345867
2018-08-31,0.9232870980493708,1.1170759784117377,1.1236721411747803,0.7598139677455525
2018-09-28,0.8520311953823574,1.1383086921302021,1.145030230819587,0.6704359725330173
2018-10-31,0.9333863930831695,1.1822956214763913,1.1892768962544769,0.7081535596409888
2018-11-30,0.9086182268983984,1.191084424113901,1.1981175954270562,0.6749167556394093
2018-12-28,0.8921329992948123,1.178316589683544,1.185274368887602,0.6635989352522194
2019-01-31,1.0985901873965267,1.2103455737866222,1.217492479242038,0.8120802741335517
2019-02-28,1.2209586181974093,1.2202147969405233,1.353105054254917,0.9005766165006656
2019-03-29,1.1883044233498925,1.2202268951276278,1.3169166401413963,0.8656919885529863
2019-04-30,1.171682309147387,1.259971727225798,1.2984954861361784,0.8126758125770893
2019-05-31,1.1933582653037746,1.276704857866445,1.3225174680394782,0.8107234398081113
2019-06-28,1.1886702625725016,1.287944947028884,1.3341608906896345,0.7922375243151537
2019-07-31,1.1617692745089194,1.253087790996463,1.298052938679416,0.789626387609144
2019-08-30,1.1843557215683025,1.2577431416338822,1.3028753394871675,0.7971572294619221
2019-09-30,1.1881948795742037,1.2480498824614072,1.2928342524662757,0.8004318529731523
2019-10-31,1.162641090166901,1.2386607079028542,1.2831081616727391,0.7810428032020438
2019-11-29,1.2540290031649883,1.2332973057627101,1.2775523020120227,0.8481407439096331
2019-12-31,1.2371560998683777,1.1819299275691864,1.2603628937975342,0.8682472125936652
2020-01-23,1.2230821931933917,1.1284329799093888,1.2460249862806017,0.8944451147870262
2020-02-28,1.245257625508189,1.2156886762440582,1.2686163892947102,0.8268267444751584
2020-03-31,1.2836284906125,1.1947482348798235,1.2467642591952441,0.8650719216649848
2020-04-30,1.3320475214485663,1.2054570404379237,1.2937927550199786,0.8861319526713762
2020-05-29,1.4173858962626362,1.1820776203514134,1.376680316673601,0.9627880644893941
2020-06-30,1.6278713205482551,1.213637536193506,1.5811208584659047,1.088025731404697
2020-07-31,1.728742666934859,1.267609771886113,1.679095303853691,1.1005876466831452
2020-08-31,1.628642526019703,1.2786283240639724,1.5818699158647775,1.00812805615277
2020-09-30,1.6553976914333368,1.3082816022509918,1.6078567058359619,0.9919787416085298
2020-10-30,1.6878491131924407,1.30467157256921,1.6034200383615185,1.0089202792037795
2020-11-30,1.6385208543342842,1.2527932907717518,1.5396624779618513,1.0125942136028354
2020-12-31,1.500877345950695,1.1951532445144386,1.4688238032147183,0.9604360761314165
2021-01-29,1.5270868133272788,1.203707912391608,1.4793373502131935,0.9636791630711927
2021-02-26,1.5594628129249346,1.2257616154228974,1.5064409907798448,0.9588019637381227
2021-03-31,1.6238879291513937,1.2522009889857988,1.538934548747847,0.9723221642071189
2021-04-30,1.7095233142292954,1.2344233772338717,1.5170861544725598,1.0381722012587817
2021-05-31,1.8013107259964745,1.2487130073680506,1.5985412656066462,1.0792058512375744
2021-06-30,1.7828582399643498,1.1990451053021007,1.5821659340496412,1.106428311126712
2021-07-30,1.877807928714489,1.1863972123447115,1.666427351823435,1.1774296262169768
2021-08-31,1.7784677313901784,1.1585629805977895,1.5782696550615003,1.1282264807258229
