dt,V1多头全A,V2市场中性,V3中证800指增,V4多头231,中证500,中证800
2015-01-30,1.0603742181563922,0.976987830806761,,,1.0684810273103902,1.0477340806635134
2015-02-27,1.2705067655312294,0.9683293416017352,,,1.2876716219920437,1.2080821902361596
2015-03-31,1.5087373277665677,1.0099715493388597,,,1.5036538245766529,1.414829350314169
2015-04-30,1.918782173476284,1.0301577257728813,,,1.7694525636600948,1.5043046921157177
2015-05-29,1.786530894869079,1.0730051563615193,,,1.581120196111014,1.3765991319550526
2015-06-30,1.4730443762131489,1.0638900406732321,,,1.3718150423737838,1.1804627212954752
2015-07-31,1.2372559212561232,1.022285388900001,,,1.1684059659901915,1.0305501892407218
2015-08-31,1.2217819838461341,1.032804334012459,,,1.0871689525927755,0.9741891547090431
2015-09-30,1.485918733251966,1.079537179084803,,,1.2578223198421792,1.089864496143465
2015-10-30,1.6455594982354889,1.1078668049543012,,,1.315241744319981,1.1116351116865095
2015-11-30,1.812753805600586,1.157335416334503,,,1.3523978079538013,1.1569673967855958
2015-12-31,1.314078820017704,1.1505629051947932,,,0.9709549262808357,0.8882138418842835
2016-01-29,1.2972350297124924,1.1613440867812133,,,0.9498832537271459,0.8679295651619806
2016-02-29,1.5526362756974301,1.2050971162423536,,,1.0928654818766321,0.978651055738493
2016-03-31,1.5665917577205706,1.2330364437412775,,,1.0626456665402622,0.9575588379599611
2016-04-29,1.5447699587904657,1.2256042011914037,,,1.0558510902710014,0.9585487689847142
2016-05-31,1.6353836051532575,1.2222342433315665,,,1.0871275872010855,0.9635068155767683
2016-06-30,1.6619231934494254,1.2692935103574268,,,1.1012234214043348,0.9779377809339027
2016-07-29,1.7634965174353656,1.2990918017981194,,,1.1422902011245697,1.0153396040328353
2016-08-31,1.7571193185822584,1.314761758134978,,,1.1234495967140603,0.9944178379539298
2016-09-30,1.8176309020764931,1.3233047456339706,,,1.1454851006475006,1.0180015351142306
2016-10-31,1.8718455730088681,1.3459842630705092,,,1.1691631479453641,1.0672696810743811
2016-11-30,1.79355788831489,1.356519036548851,,,1.112005763459552,1.0034273903294102
2016-12-30,1.7615358469946816,1.369908719470903,,,1.1049186113726768,1.0180474259564378
2017-01-26,1.8349927573481102,1.3789497307669127,1.0180535441213054,,1.1452656687842897,1.042725947495108
2017-02-28,1.8128740882669678,1.3836885848940057,1.031169339761296,,1.1365093432525046,1.0410458182035602
2017-03-31,1.718072778117292,1.3818526286764479,1.0088118249648013,,1.1028159002174425,1.0284709407386647
2017-04-28,1.6029726827045339,1.3851745128890474,1.0362495569499586,,1.033975721888221,1.0211312905527543
2017-05-31,1.6880269616983183,1.4122063530075197,1.0875801071213775,,1.0897305888017306,1.07313793974244
2017-06-30,1.6966454420706438,1.419777966390833,1.1292931854705617,,1.1181083127038967,1.0959207761478813
2017-07-31,1.772387592770095,1.4400098107385326,1.1635938076708328,,1.1487197677572918,1.1220932412754305
2017-08-31,1.816733572278131,1.4455969408667648,1.1658581486693667,,1.1723021242992728,1.131581894043553
2017-09-29,1.8299064031321832,1.4875734534393,1.2278829720327333,,1.1646585810640944,1.1654776567978635
2017-10-31,1.7210267705647493,1.4788932580842142,1.2232540349458596,,1.11196936901622,1.1509417980871128
2017-11-30,1.6995416325915964,1.48226526681304,1.2306137953966165,,1.1097324422553325,1.1555636614808271
2017-12-29,1.698402408714248,1.5206341999043487,1.3067321526773181,,1.0988176599331612,1.204400957990999
2018-01-31,1.6217269282814653,1.4939962555311224,1.2271394776479234,0.9463773948633124,1.0694066889081089,1.1430273323233857
2018-02-28,1.7099262275508098,1.5242058222033965,1.1923854549732453,1.0471613147302734,1.0855731006361384,1.1209942211629165
2018-03-30,1.6517175268553428,1.5252662487711894,1.1437601335260728,1.0069087687946698,1.0405231710105645,1.0787358357915533
2018-04-27,1.6353432796924514,1.5489114740809227,1.1512780714373427,1.0242238945293707,1.021614216060139,1.0831827895181125
2018-05-31,1.4771755441482826,1.5503292689720767,1.077265766184747,0.9161153176626842,0.9263298352059597,0.9955669446427954
2018-06-29,1.5150263959519812,1.6028762345906058,1.098158041175788,0.9390385103923216,0.9211730088866343,0.9955984126488802
2018-07-31,1.401119306045582,1.603853763335178,1.045869387463174,0.8654986992708861,0.8547943376637385,0.9388128222684398
2018-08-31,1.4135064441812684,1.6344663489949198,1.0973984635435916,0.8715542120050458,0.8522919977673332,0.9603282847288132
2018-09-28,1.2966389949361978,1.667277154157527,0.9876426320364776,0.8054387385854449,0.7585226909589804,0.874511360868014
2018-10-31,1.3744683947400238,1.679919897145195,0.9958039429620168,0.8824692753753582,0.7770037892829186,0.8834910186377138
2018-11-30,1.3342140741667339,1.6973407268612508,0.9476073693087719,0.8603076476455308,0.739967561011289,0.8391303082264978
2018-12-28,1.3238872851032035,1.7058191498249922,1.0108070227117736,0.8431336597177779,0.7414655918056039,0.879855415001376
2019-01-31,1.5862286374813044,1.6993933105329944,1.1635275336262083,1.0351032793147736,0.8921593586624447,1.0200579693118768
2019-02-28,1.7293413438765959,1.6836433147548049,1.2296217081409453,1.152576297270899,0.9848968386188706,1.0884266704987715
2019-03-29,1.70797662937179,1.7172923485996336,1.2524795233348773,1.1267132936632511,0.9422716665885507,1.0853084533291457
2019-04-30,1.6577972660723799,1.7568700472682703,1.174993882292208,1.1099214072735804,0.8720465465401479,1.0061569776238886
2019-05-31,1.7004336577577115,1.8019014275182772,1.239220905545049,1.1287234210242463,0.8788778723204801,1.049284142196578
2019-06-28,1.7070830395925427,1.8415963748411361,1.2614837609826501,1.1141495831114632,0.8704846035526648,1.048972346702954
2019-07-31,1.6801861277220445,1.8138882078559007,1.2447267117892784,1.0920880248361955,0.86751819012031,1.0406359474243054
2019-08-30,1.7091373804862608,1.8256565362233352,1.246744405739475,1.1119236959336356,0.8771776304483359,1.0464918811233144
2019-09-30,1.7177107782798657,1.8240476978260776,1.263312195579707,1.112408549581446,0.8730080699795897,1.0604707561263629
2019-10-31,1.682286344922888,1.8217944193437363,1.235198505197655,1.092526467003699,0.8690179962533241,1.047169229954291
2019-11-29,1.8218892653189738,1.8292288272325916,1.3112409637742666,1.1778459652515354,0.9351884202468135,1.1219741873190765
2019-12-31,1.816565513010159,1.7810997724202455,1.2737113921552645,1.1581170022554874,0.9547311711128237,1.1081833336523852
2020-01-23,1.7811083072753322,1.694396962194405,1.2313114399079823,1.1447648035292015,0.9677886097109595,1.0985777247949806
2020-02-28,1.749565576002975,1.7749309710958026,1.1507790305629044,1.165476994641683,0.8950286610679575,1.0248348126355593
2020-03-31,1.8007619058435396,1.7496359307742426,1.2173771728920395,1.201311753058856,0.9504914847654623,1.0879247558017182
2020-04-30,1.8401969478414948,1.7460323664742063,1.2036152628040369,1.245821134191898,0.9598084622584285,1.0810634193082977
2020-05-29,1.9603737296238612,1.7213596941072058,1.3200702745540218,1.3197993274040978,1.0411324672521012,1.1661951273365991
2020-06-30,2.2680057268222598,1.7878055040437844,1.4750252686110035,1.5111917655247913,1.1681142778419253,1.3133164472516252
2020-07-31,2.361208568473982,1.8388635976784058,1.5181637448165715,1.6021209501719986,1.1838727167368976,1.343194270095667
2020-08-31,2.227640500168446,1.8686134854559815,1.458110172777409,1.511438450466943,1.0993793770975613,1.2714857645296322
2020-09-30,2.2388633023938693,1.900573546494611,1.4774676944703806,1.532179401220824,1.0849946952879657,1.2901565192399336
2020-10-30,2.3305499077451763,1.9451965356657979,1.5508455669588028,1.5801964476065355,1.1221816498151505,1.3562298916163213
2020-11-30,2.2685465073246043,1.8827833576851754,1.6460828419977098,1.5495260308809502,1.1303785661228436,1.4113107027671141
2020-12-31,2.147814300936343,1.864935048659993,1.7106962707932654,1.4173155170814866,1.126654260599836,1.4398592645874544
2021-01-29,2.2438329935667767,1.938526198332888,1.7061108345601061,1.452702954156229,1.1298882175741476,1.4375710160783168
2021-02-26,2.280730630963115,1.9748342146136848,1.6040449917187707,1.4850176512810072,1.1103092497986753,1.3714572597607866
2021-03-31,2.317202412237107,1.9771545462996845,1.6183476185421886,1.5244578744575419,1.151432840357282,1.398731629568074
2021-04-30,2.427298466861512,1.9471768298017056,1.6914036615183308,1.6039678327804017,1.1946238128310105,1.4545424984600357
2021-05-31,2.4997196432374267,1.9322408142957128,1.6803398977957817,1.6911104163887074,1.208683075057058,1.4356415028385467
2021-06-30,2.436939552612226,1.8359018625614925,1.5276810472488305,1.6730190639055753,1.2014277983953765,1.3455386365489892
2021-07-30,2.5359866666295563,1.8012775104204284,1.5411167655972706,1.7708398887794203,1.2880689427929046,1.3672924691554555
2021-08-31,2.5676151905530866,1.8869039369369478,1.5809676220007873,1.6866810713506766,1.2611310185757227,1.373105658812866
2021-09-30,2.528198000028734,1.8583105083905989,1.5863230983698648,1.6700779683461313,1.2467314239210545,1.3783293478229532
2021-10-29,2.786229459163873,1.8935918434901151,1.5542482942676132,1.8918711907702295,1.2876096626714435,1.3728269047256307
2021-11-30,2.897663718959811,1.9743256156790838,1.5962037639203335,1.8886411419674092,1.3065431172959168,1.4006461955049543
2021-12-31,2.7026913856947186,2.0652579073128465,1.4786530703415937,1.7001263191873004,1.16826695697005,1.2838977950630381
