,naive,size中性
2018-01-31,0.9448514851137595,0.9572036876833762
2018-02-28,1.0454775551447262,1.0125756341708674
2018-03-30,1.0054771316051172,0.9733417566032958
2018-04-27,1.0270515385844314,0.9820939855698584
2018-05-31,0.9249738457956814,0.8832797403947025
2018-06-29,0.9408825663865433,0.8957236666260157
2018-07-31,0.8670887226368776,0.8235010853371632
2018-08-31,0.8723691857783213,0.8261638206689735
2018-09-28,0.8050429403202722,0.7582492635003704
2018-10-31,0.8819115196896081,0.8254824434139203
2018-11-30,0.8585092810863828,0.8001527840393666
2018-12-28,0.842933189302696,0.7905912895739043
2019-01-31,1.0380045700930118,0.9632603878608055
2019-02-28,1.153624563666266,1.06027056528808
2019-03-29,1.1227711991693958,1.0244313531792713
2019-04-30,1.107065769879428,0.9938837827957762
2019-05-31,1.1275463292450516,1.0139360592954656
2019-06-28,1.1231168629021908,1.0116736957408403
2019-07-31,1.0976994243792875,0.995372667828709
2019-08-30,1.119040262426789,1.0078386282957867
2019-09-30,1.1226676965702513,1.009124550990856
2019-10-31,1.0985231606984769,0.9926061891898942
2019-11-29,1.1848711660161666,1.0648775879294263
2019-12-31,1.1689287782781832,1.057738077555613
2020-01-23,1.1556310266549705,1.0549151775086378
2020-02-28,1.1765835168106462,1.0221088771241544
2020-03-31,1.212838285689554,1.0815790279560198
2020-04-30,1.2570120862670922,1.1299264528926842
2020-05-29,1.337553986829421,1.2196118849920312
2020-06-30,1.5361841687474613,1.395937833110875
2020-07-31,1.6313741038752292,1.4697429620935725
2020-08-31,1.5369119373500133,1.3768625261337437
2020-09-30,1.5621601624534578,1.389112034498604
2020-10-30,1.5927838117127202,1.4143432732486025
2020-11-30,1.5462338852085447,1.388618108959165
2020-12-31,1.4163429191102446,1.3089668327273474
2021-01-29,1.4410761817133666,1.332701912276602
2021-02-26,1.4716286568393135,1.3300736517660179
2021-03-31,1.532425135263339,1.3796653599292776
2021-04-30,1.6132372493295537,1.4492777502077776
2021-05-31,1.6998548873868151,1.5168130569717384
2021-06-30,1.6824417070212827,1.506244725463553
2021-07-30,1.7720435120560558,1.5813228643470607
2021-08-31,1.6782984865595325,1.495556414252794
2021-09-30,1.664846708329255,1.4912227626604981
2021-10-29,1.8696603881408447,1.6901416354474297
2021-11-30,1.8754172001025422,1.6929974413255624
2021-12-31,1.6865177418931105,1.5160521763785466
2022-01-28,1.7340139364576792,1.5530916345854195
2022-02-28,1.6398525404956625,1.4334552103447251
2022-03-31,1.3958825079257315,1.2328229976866272
2022-04-29,1.5856362345009662,1.4085210779041695
2022-05-31,1.7356994018314738,1.5468539083008104
2022-06-30,1.8586575326231172,1.6530817756460006
2022-07-29,1.8169009140036152,1.608269600368511
2022-08-31,1.6869920540996435,1.4940677016363864
2022-09-30,1.767422668792048,1.555313594107346
2022-10-31,1.855328108828885,1.6096628899358183
2022-11-30,1.7676606812057987,1.5412344818757016
2022-12-30,1.9459498611594028,1.6930549713066856
2023-01-31,2.032650245994366,1.7537566363638983
2023-02-28,1.999736414473507,1.7295391445071044
2023-03-31,1.923036805957683,1.6917265333984055
2023-04-28,1.9869019178372058,1.7024983186412868
2023-05-31,2.0611828616043795,1.7413312379939592
2023-06-30,2.1501009976212027,1.7922991879122272
2023-07-31,2.13076413410638,1.7336530156434526
2023-08-31,2.1468763234375006,1.7414652896961225
2023-09-28,2.1622429745436573,1.719767610460206
2023-10-31,2.2980259916628736,1.7935829176859468
2023-11-30,2.3179498437534365,1.7789432190421939
2023-12-29,1.8516958418833354,1.4755963535628163
2024-01-31,1.7902835666385215,1.5308740575525102
2024-02-29,2.0001637799215275,1.6286182721430411
2024-03-29,1.9276852843072652,1.6190918008934392
2024-04-30,1.937187407509789,1.6012195515871404
2024-05-31,1.7737191058148334,1.4615557896623048
2024-06-28,1.8098316418537572,1.4577900059044828
2024-07-31,1.7935194242864354,1.4265939202240248
2024-08-30,2.2143978455858826,1.75373046631038
2024-09-30,2.458647056675551,1.8544665111866234
2024-10-31,2.688695542742034,1.938680454040584
2024-11-29,2.5207168092978307,1.8739517416551497
2024-12-31,2.5579337741510475,1.8544406612262345
2025-01-27,2.78874631315471,2.0192362488147975
2025-02-28,2.8279784727174535,2.015055544579837
2025-03-31,2.8759854630815207,2.00061586751991
2025-04-30,3.1049205989769915,2.0988692818543613
2025-05-30,3.3859231392412426,2.2054555887482654
2025-06-30,3.7125577872251463,2.327361519107091
2025-07-31,3.9281900174337867,2.499340243490538
2025-08-29,4.016924093925487,2.5456082880675206
2025-09-30,4.159815179074998,2.587709425610743
2025-10-31,4.208050690645517,2.5585226197538344
2025-11-28,4.1741818286944525,2.608376319098011
