dt,指增产品,合成基准,中证1000,超额净值
2018-01-31,0.975001846060903,0.9632867747465934,0.9665438523200308,1.0117150713143095
2018-02-28,1.0216012743950462,1.0043901999427538,1.0011278147326854,1.0168993191637656
2018-03-30,0.9869106996583666,0.9623001000237228,0.9596591611055146,1.024982717614184
2018-04-27,0.9921600619601515,0.9468223161781026,0.9299313253744766,1.0469205651483986
2018-05-31,0.8974298487592973,0.8423512332592893,0.8258766848932169,1.062477674142041
2018-06-29,0.899782193209773,0.8376007243794211,0.8161589831496321,1.0712545721978564
2018-07-31,0.8221636393363111,0.7693508005041537,0.7448061105499933,1.0661328318463261
2018-08-31,0.809652934551892,0.7617030284679192,0.734393519431354,1.060507644539618
2018-09-28,0.7177123200548604,0.6762901167837319,0.648005767625989,1.0590001855356173
2018-10-31,0.7837422034912712,0.7149241896487132,0.6844614695695441,1.0959317676179168
2018-11-30,0.7525841108681265,0.6808803215755184,0.6523366409910516,1.1045494219969096
2018-12-28,0.7472746323018352,0.6671400164219747,0.6413974712741508,1.1190468641306675
2019-01-31,0.8926673029543564,0.8139316316168407,0.7849111965541498,1.0905477729944089
2019-02-28,0.9810329575457387,0.8990132987563708,0.8704467922218924,1.0845049041574302
2019-03-29,0.9527408681172587,0.8633930105781518,0.8367292695385915,1.0961985294076655
2019-04-30,0.9209084354806486,0.8179798083456011,0.7854868105755713,1.1172314015385867
2019-05-31,0.9248386886961877,0.8163067573650457,0.7835997566782786,1.1242846457059967
2019-06-28,0.9107550042514689,0.799200238046724,0.7657323087040527,1.1307242483045306
2019-07-31,0.8996295966629095,0.7915544256754986,0.7632085305732919,1.127729233168256
2019-08-30,0.9225450256740543,0.8016140554667756,0.7704874194688889,1.1421228568856658
2019-09-30,0.9189495643699382,0.7991067489222711,0.773652486692331,1.1412439862374906
2019-10-31,0.9006899443278722,0.7797080309336696,0.754912119833739,1.1462716251245204
2019-11-29,0.9669221416881628,0.8424863860336474,0.8197652219279934,1.1382703615917322
2019-12-31,0.9795703167487197,0.8578558216254379,0.8391990056264098,1.1323945116951268
2020-01-23,0.9906747417104093,0.8645308150671951,0.8645204269350842,1.1364201696799998
2020-02-28,0.972088419339755,0.8216563685644153,0.7991643068062491,1.1714576599594202
2020-03-31,1.0566921168007193,0.8504466904776365,0.8361299476999661,1.2323659064145902
2020-04-30,1.1236684248946296,0.8717029717055743,0.8564853911988629,1.2796748775255342
2020-05-29,1.2322808427248864,0.9393203551545347,0.930576884819325,1.3041032127125556
2020-06-30,1.425145071946934,1.0694838087023808,1.0516245818552146,1.3274962328640647
2020-07-31,1.450730672066062,1.0928692831485134,1.0637662238409638,1.3223015371406257
2020-08-31,1.3074638769111009,1.0032587106594197,0.9743999750258022,1.300140780044087
2020-09-30,1.301397704656016,0.9874089656470193,0.9587909543338845,1.3146485504189098
2020-10-30,1.331574562143296,1.0098933028510597,0.9751656933454216,1.3151967434217195
2020-11-30,1.3215473913211282,0.9851282929486405,0.9787167120526563,1.3375446863818277
2020-12-31,1.2484930337090494,0.9266275539190639,0.9283035849311932,1.3430345991480022
2021-01-29,1.2873733847690865,0.9547515847452976,0.9314381706753734,1.3440967649017366
2021-02-26,1.3012305226013174,0.9626719240556662,0.9267241436434551,1.3474142338118913
2021-03-31,1.347626511011028,0.9742621163044637,0.9397920102888978,1.3792345855419736
2021-04-30,1.4250172261858582,1.0373845240376096,1.0034389587762287,1.3690799113669405
2021-05-31,1.474759916160582,1.0687582191477567,1.0430997809014826,1.3754648299848695
2021-06-30,1.480820542269662,1.079529411760704,1.069411482152357,1.3672551433884297
2021-07-30,1.6046511355624338,1.1552784952722954,1.1380373667594899,1.385650662599228
2021-08-31,1.517690935016926,1.1277578446925145,1.0904803689702072,1.3435671626574048
2021-09-30,1.4929816935231965,1.1117941995709624,1.087512179707021,1.3407112682192668
2021-10-29,1.656037139200302,1.2084876617149363,1.1860225777936677,1.3705340275133413
2021-11-30,1.6901831057310033,1.2266639022777839,1.179548429401286,1.3781796853081412
2021-12-31,1.4854977065439594,1.0864740692866661,1.0268002884402005,1.3687845623301549
2022-01-28,1.5349759377581282,1.1331779514305962,1.0925962548422479,1.355535904294802
2022-02-28,1.429624216712415,1.0476882842519026,0.9972104292602172,1.3647647772142135
2022-03-31,1.2463010317454144,0.8985607854043616,0.8444242968901968,1.3840186605107903
2022-04-29,1.4064622180322872,0.9947264384387076,0.9355527286151436,1.4137575719977793
