name,ann,sharpe,mdd,calmar,dANN,dMDD,eff,turn
a k=1.0 floor=0.3,0.18706482490219978,0.8975823536712624,-0.2382526022195699,0.7851533337285598,-2.1961992469961666,1.744233976485432,-0.7942057073697177,0.03118688303122363
a k=1.0 floor=0.5,0.18706482490219978,0.8975823536712624,-0.2382526022195699,0.7851533337285598,-2.1961992469961666,1.744233976485432,-0.7942057073697177,0.03118688303122363
a k=1.5 floor=0.3,0.1751981344935467,0.8834119557386995,-0.22959677208255558,0.7630688049505815,-3.3828682878614735,2.609816990186864,-0.7714805212935723,0.045280072957519145
a k=1.5 floor=0.5,0.1751981344935467,0.8834119557386995,-0.22959677208255558,0.7630688049505815,-3.3828682878614735,2.609816990186864,-0.7714805212935723,0.045280072957519145
a k=2.0 floor=0.3,0.16268936040514448,0.8632216846106001,-0.22652216488747068,0.7182050396082149,-4.633745696701697,2.917277709695354,-0.6295722511858763,0.058313229300217886
a k=2.0 floor=0.5,0.16268936040514448,0.8632216846106001,-0.22652216488747068,0.7182050396082149,-4.633745696701697,2.917277709695354,-0.6295722511858763,0.058313229300217886
a k=3.0 floor=0.3,0.1356503689892885,0.8020607468303037,-0.2194797136488471,0.6180542462631423,-7.337644838287294,3.621522833557711,-0.4935538464141614,0.07999324164529549
a k=3.0 floor=0.5,0.1500804445313657,0.8487510941931025,-0.2159409254486001,0.6950069525708733,-5.8946372840795735,3.975401653582411,-0.6744098851203795,0.07217053258178868
cppi m=2 tol=0.1,0.034742889075814354,0.8693071085358006,-0.04718157571791515,0.7363655949841933,-17.42839282963471,20.851336626650905,-1.1964004271923414,0.011517862011478178
cppi m=3 tol=0.1,0.04360877591134593,0.807381921399232,-0.06739440203128033,0.6470682222405567,-16.541804146081553,18.830053995314387,-1.1383313349030841,0.024177885400238432
cppi m=2 tol=0.15,0.05237411755794685,0.8715581893792045,-0.07077236357687267,0.7400362925714399,-15.66526998142146,18.492257840755155,-1.1804621217946718,0.01663097954744344
cppi m=3 tol=0.15,0.06575853037423163,0.8119563607128135,-0.10109160304692011,0.6504845940934463,-14.326828699792982,15.460333893750411,-1.0791176622341976,0.03523626421992748
kl thr=0.12 exit=0.0 cool=1,-0.010904339852660927,-0.14665918825994395,-0.1706290408914174,-0.06390670542185187,-21.993115722482237,8.506590109300681,-0.38678421996410933,0.010752688172043012
kl thr=0.12 exit=0.0 cool=2,-0.010904339852660927,-0.14665918825994395,-0.1706290408914174,-0.06390670542185187,-21.993115722482237,8.506590109300681,-0.38678421996410933,0.010752688172043012
kl thr=0.12 exit=0.0 cool=3,-0.010904339852660927,-0.14665918825994395,-0.1706290408914174,-0.06390670542185187,-21.993115722482237,8.506590109300681,-0.38678421996410933,0.010752688172043012
kl thr=0.12 exit=0.5 cool=1,0.17131910458393773,0.8962619581922248,-0.2304087477266321,0.7435442719700853,-3.7707712788223713,2.5286194257792105,-0.6705841428199564,0.07526881720430108
kl thr=0.12 exit=0.5 cool=2,0.148227885837521,0.8077432493594415,-0.25047933402484,0.5917769081213752,-6.079893153464044,0.5215607959584201,-0.08578453318069557,0.07526881720430108
kl thr=0.12 exit=0.5 cool=3,0.14165039999094486,0.7830228036080632,-0.2504793340248399,0.5655173132043598,-6.737641738121658,0.5215607959584312,-0.07740999243213452,0.06451612903225806
kl thr=0.15 exit=0.0 cool=1,-0.010904339852660927,-0.14665918825994395,-0.1706290408914174,-0.06390670542185187,-21.993115722482237,8.506590109300681,-0.38678421996410933,0.010752688172043012
kl thr=0.15 exit=0.0 cool=2,-0.010904339852660927,-0.14665918825994395,-0.1706290408914174,-0.06390670542185187,-21.993115722482237,8.506590109300681,-0.38678421996410933,0.010752688172043012
kl thr=0.15 exit=0.0 cool=3,-0.010904339852660927,-0.14665918825994395,-0.1706290408914174,-0.06390670542185187,-21.993115722482237,8.506590109300681,-0.38678421996410933,0.010752688172043012
kl thr=0.15 exit=0.5 cool=1,0.13326104793479776,0.7272816403472405,-0.2634380813047317,0.5058533955106066,-7.576576943736368,-0.7743139320307457,0.1021983856008852,0.0967741935483871
kl thr=0.15 exit=0.5 cool=2,0.1373071074419958,0.7492105542321895,-0.2556949419844241,0.536995790281843,-7.171970993016563,1.1102230246251565e-14,-1.5480026699859695e-15,0.07526881720430108
kl thr=0.15 exit=0.5 cool=3,0.1445022928152564,0.7813587293606968,-0.2556949419844242,0.5651355153676009,-6.452452455690505,0.0,-0.0,0.053763440860215055
kl thr=0.2 exit=0.0 cool=1,-0.020234871328615678,-0.2683528659294765,-0.22997587431819178,-0.08798693075352312,-22.926168870077714,2.5719067666232442,-0.11218214352333375,0.010752688172043012
kl thr=0.2 exit=0.0 cool=2,-0.020234871328615678,-0.2683528659294765,-0.22997587431819178,-0.08798693075352312,-22.926168870077714,2.5719067666232442,-0.11218214352333375,0.010752688172043012
kl thr=0.2 exit=0.0 cool=3,-0.020234871328615678,-0.2683528659294765,-0.22997587431819178,-0.08798693075352312,-22.926168870077714,2.5719067666232442,-0.11218214352333375,0.010752688172043012
kl thr=0.2 exit=0.5 cool=1,0.15344993365216975,0.7896826302559855,-0.262501079759777,0.5845687712698043,-5.55768837199917,-0.6806137775352772,0.12246346537966322,0.043010752688172046
kl thr=0.2 exit=0.5 cool=2,0.14073103686733135,0.7484572628182377,-0.2556949419844242,0.5503864713753471,-6.8295780504830095,0.0,-0.0,0.053763440860215055
kl thr=0.2 exit=0.5 cool=3,0.1472490278001939,0.7795034456432783,-0.2556949419844242,0.5758777497020791,-6.177778957196756,0.0,-0.0,0.043010752688172046
