dt,exI_base,scaleA,scaleB,scaleC,exI_A,exI_B,exI_C
2018-01-31,0.008457993739792065,1.0,1.0,1.0,0.008457993739792065,0.008457993739792065,0.008457993739792065
2018-02-28,0.012013078796570043,1.0,1.0,1.0,0.012013078796570043,0.012013078796570043,0.012013078796570043
2018-03-30,0.0074648798114851506,1.0,1.0,1.0,0.0074648798114851506,0.0074648798114851506,0.0074648798114851506
2018-04-27,0.03629647780295046,1.0,1.0,1.0,0.03629647780295046,0.03629647780295046,0.03629647780295046
2018-05-31,0.016416212214483764,1.0,1.0,1.0,0.016416212214483764,0.016416212214483764,0.016416212214483764
2018-06-29,0.014387614895598012,1.0,1.0,1.0,0.014387614895598012,0.014387614895598012,0.014387614895598012
2018-07-31,0.0011615005667671707,1.0,1.0,1.0,0.0011615005667671707,0.0011615005667671707,0.0011615005667671707
2018-08-31,-0.0012365353022121169,1.0,1.0,1.0,-0.0012365353022121169,-0.0012365353022121169,-0.0012365353022121169
2018-09-28,0.004075831698967081,1.0,1.0,1.0,0.004075831698967081,0.004075831698967081,0.004075831698967081
2018-10-31,0.03574218908298306,1.0,1.0,1.0,0.03574218908298306,0.03574218908298306,0.03574218908298306
2018-11-30,0.007178921126980202,1.0,1.0,1.0,0.007178921126980202,0.007178921126980202,0.007178921126980202
2018-12-28,0.009714275030631502,1.0,1.0,1.0,0.009714275030631502,0.009714275030631502,0.009714275030631502
2019-01-31,-0.029187716150152532,1.0,0.5,0.5,-0.029187716150152532,-0.014593858075076266,-0.014593858075076266
2019-02-28,-0.009984300780718033,0.7102005828763867,0.5,0.5,-0.00709085623407911,-0.004992150390359017,-0.004992150390359017
2019-03-29,0.009896798944500636,0.6851712317132015,0.5,0.5,0.006781001922821413,0.004948399472250318,0.004948399472250318
2019-04-30,0.027829983131192275,0.6791538755324444,0.5,0.5,0.018900840899551786,0.013914991565596137,0.013914991565596137
2019-05-31,0.00667024829641273,0.7544662732831778,0.5,0.5,0.005032477374067978,0.003335124148206365,0.003335124148206365
2019-06-28,0.007573492159194516,0.7553411070691666,0.5,0.5,0.0057205699519056385,0.003786746079597258,0.003786746079597258
