dt,V1多头全A,V2市场中性,V3中证800指增,中证500,中证800
2018-01-31,0.9561536860848631,0.9824038267357946,0.9463360828878415,0.9732339840380421,0.9490421978989557
2018-02-28,0.973862208158583,0.9687082088267944,0.9261800984988156,0.9879465358266737,0.9307483639275668
2018-03-30,0.9286404007371255,0.9556979030889945,0.8828795979706429,0.9469479868696846,0.8956617218164112
2018-04-27,0.9039317874995207,0.9533478386625247,0.8774512421993681,0.9297395312360396,0.8993539753778638
2018-05-31,0.8008078884398471,0.9330232657618148,0.813325737569541,0.8430241604073843,0.8266075662240013
2018-06-29,0.8082340810772791,0.9490070655477093,0.8055411073297388,0.8383310921146532,0.8266336937406527
2018-07-31,0.7521353807612068,0.9514799489015002,0.7472339874321119,0.7779219144655303,0.7794852835673814
2018-08-31,0.7541766532561074,0.9633249130066222,0.7582055559918892,0.7756446122454718,0.7973493198898551
2018-09-28,0.6827567617494869,0.9661472500455274,0.6880432222615955,0.6903080634917352,0.7260965337712306
2018-10-31,0.7295134500956897,0.984172122303746,0.7021030838009183,0.7071271400299322,0.7335522383770111
2018-11-30,0.6971387903624041,0.9775791808998725,0.6763719882549084,0.6734216130602596,0.6967200604242371
2018-12-28,0.6978642422479681,0.9904251508544868,0.7036649786514354,0.6747849245985962,0.7305336392865535
2019-01-31,0.8319053132463963,0.9906398898994044,0.8192875285761481,0.8119266655367671,0.8469421769751697
2019-02-28,0.9190242439845191,1.0007383773417509,0.8868023527941283,0.8963241805549248,0.9037079082985133
2019-03-29,0.9026201031926665,1.013625605997774,0.8779699659853887,0.8575323285629276,0.9011188891276658
2019-04-30,0.8421825927398575,0.9962455332207866,0.8117335351019247,0.7936226166889171,0.835400346494417
2019-05-31,0.856050298468008,1.012567647637328,0.8440681297763928,0.7998395952008457,0.8712083257944564
2019-06-28,0.848194823544307,1.0207077071356863,0.837616338827667,0.7922011406383973,0.8709494456503023
2019-07-31,0.8252218063189901,0.9937511303310888,0.8293376015498997,0.7895014994326534,0.8640278310307374
2019-08-30,0.8396311603229195,1.0009596884327252,0.8255308377116072,0.7982922576086855,0.8688899441502561
