,最终版(行业中性+CDaR),分行业中性多头,naive多头
2020-01-23,0.9780496547530437,0.9884221774713506,0.988623984736863
2020-02-28,0.9778338898232601,0.9999645828277136,1.0065485072099416
2020-03-31,0.9887002214887712,1.0271858062022288,1.0375638860359386
2020-04-30,1.0017096616228647,1.0589728581329558,1.0767012518390235
2020-05-29,1.0334768249018917,1.1215831908143172,1.1456807240520686
2020-06-30,1.125698637241895,1.2727813066869496,1.315817236581096
2020-07-31,1.1725867960334022,1.3375146474957549,1.3973520941446127
2020-08-31,1.1181436791664086,1.2563107556690312,1.3164406061555014
2020-09-30,1.1244081804888335,1.2643072122441572,1.3380669517851922
2020-10-30,1.1503060616603815,1.2960403242102774,1.3642976123805337
2020-11-30,1.1232393352298062,1.2619146128078986,1.3244253126251475
2020-12-31,1.0391266467137468,1.1652764134044076,1.2131673166469252
2021-01-29,1.0588168834403118,1.1879271388892279,1.2343525715871646
2021-02-26,1.081523193584272,1.213510289565465,1.2605222680394557
2021-03-31,1.1034483861823439,1.238189164155684,1.3125974396635647
2021-04-30,1.1651485676988234,1.3076385445829979,1.3818169868872436
2021-05-31,1.2065063649562884,1.3574740285723885,1.4560092507227809
2021-06-30,1.2052281300357417,1.3558806961411438,1.441094005965803
2021-07-30,1.2656556211500498,1.4477571769730617,1.5178423554750051
2021-08-31,1.238418244512246,1.395439039362258,1.4375451340209948
2021-09-30,1.2291564898899705,1.3788862011246428,1.4260230248766874
2021-10-29,1.3029427085799448,1.5243113057142272,1.6014560072406625
2021-11-30,1.3211928096689323,1.5629396266419167,1.6063869996054219
2021-12-31,1.2584504219110708,1.4198900418187972,1.4445853301509948
2022-01-28,1.2819512030661584,1.4667996782227637,1.4852681550046225
2022-02-28,1.2457343975996358,1.413010866600302,1.4046142917843152
2022-03-31,1.1176811808319171,1.2215038035007095,1.1956419689367803
2022-04-29,1.2217513736270067,1.377143603956737,1.3581753612296912
2022-05-31,1.3243938943017317,1.4970144114958364,1.4867118389297782
2022-06-30,1.3725333033864786,1.5626271905541829,1.5920315207524038
2022-07-29,1.3551044800838987,1.5367027308618633,1.5562649247682239
2022-08-31,1.2861115397112841,1.4335567169451429,1.4449916018660494
2022-09-30,1.3333188952195858,1.4927678513294143,1.5138843761272043
2022-10-31,1.397854712790346,1.5807356945121531,1.5891797056475094
2022-11-30,1.3596468764445508,1.5203179967314704,1.5140882454567448
2022-12-30,1.466843351404871,1.6543764163866093,1.6668016901410112
2023-01-31,1.5138003675311853,1.7316808269164694,1.7410648306582557
2023-02-28,1.4867701979860495,1.7083361935191164,1.7128725164044352
2023-03-31,1.4823992295593258,1.660088432883669,1.6471755322944952
2023-04-28,1.4763493408370882,1.7156496315528924,1.7018791392817842
2023-05-31,1.483224695813631,1.7767139275362909,1.765504418168789
2023-06-30,1.5639159049176752,1.8394656606716582,1.8416671715650794
2023-07-31,1.5344781619889942,1.8093392429103001,1.8251041976509779
2023-08-31,1.5453092808016733,1.8222032132808677,1.8389050796495423
2023-09-28,1.5477948476224903,1.8268350479890847,1.8520673715188145
2023-10-31,1.6514041767062995,1.9479622812236872,1.968372198762365
2023-11-30,1.642893371335263,1.948627907213239,1.9854379572392475
2023-12-29,1.4222722293821246,1.5824673599939196,1.5860684905002305
2024-01-31,1.4361287472614839,1.5331698369672186,1.53346585863567
2024-02-29,1.5198583786448658,1.6926560382018043,1.7132385759136173
2024-03-29,1.5138748254420153,1.6355440548645086,1.651157182451222
2024-04-30,1.5214832819862594,1.6440111725114135,1.6592962179577473
2024-05-31,1.4132066799948455,1.5130021559155955,1.5192775838767567
2024-06-28,1.4419954980253413,1.5439743318218841,1.550209745751212
2024-07-31,1.407837587797125,1.5264993984507806,1.5362375297379174
2024-08-30,1.701081588471699,1.8793987306155626,1.8967405817270526
2024-09-30,1.783874310294191,2.0471838423738964,2.1059520346970215
2024-10-31,1.8881899846249515,2.2174621877846414,2.302999868787432
2024-11-29,1.838886867678148,2.089647757508549,2.1591178282472265
2024-12-31,1.8218026493804185,2.1056241749617666,2.1909959876784777
2025-01-27,1.9045830245628095,2.288191895215046,2.388698270659102
2025-02-28,1.9387067382885004,2.313689905816249,2.422302543396172
2025-03-31,1.9238039031805207,2.3322948664166177,2.463422889955222
2025-04-30,1.995287410462322,2.502970097615922,2.6595170849083645
2025-05-30,2.0481585091297916,2.7133379371206954,2.900209570565375
2025-06-30,2.1464587244789346,2.913881431662224,3.179988199082458
2025-07-31,2.2393434625005395,3.0822564594620956,3.3646878015411237
2025-08-29,2.220323277739899,3.1308749927144714,3.4406928989085084
2025-09-30,2.2685819226446964,3.2375934319545823,3.563086135747296
2025-10-31,2.2649156946565836,3.2761046542257954,3.6044022219503877
2025-11-28,2.2396104974773343,3.253743658238298,3.575391877197953
