dt,指增产品,中证1000,超额净值
2018-06-29,1.007065762015567,0.9882334712659417,1.0188322907496252
2018-07-31,0.9249066669046693,0.9018369499634128,1.0247848806260644
2018-08-31,0.9121713410518758,0.8892290251858952,1.0250010709113166
2018-09-28,0.8120320736219152,0.7846277531248796,1.0330475504323002
2018-10-31,0.8736110111749785,0.8287695755184598,1.0532692868723177
2018-11-30,0.8475973984693425,0.7898717241005497,1.0713405934641331
2018-12-28,0.8353132687121605,0.7766261997783379,1.0737793145303098
2019-01-31,1.0154690876380292,0.9503975725572592,1.0651063276454937
2019-02-28,1.1361114636982754,1.0539670245497224,1.0755760113648085
2019-03-29,1.0890874297532604,1.0131406841286212,1.0727209436101632
2019-04-30,1.0439181864264637,0.9510945458850582,1.0939254062368644
2019-05-31,1.0557184677170386,0.948809635883589,1.108919007932052
2019-06-28,1.0570450418473,0.9271751130776376,1.1355977288941062
2019-07-31,1.054414354154959,0.9241192353940495,1.1365143637249742
2019-08-30,1.0745030517672112,0.9329327653419717,1.147328040999414
2019-09-30,1.0801400920872106,0.9367651379967965,1.1486340525997856
2019-10-31,1.0784166258528387,0.9140736548717884,1.1746249316074322
2019-11-29,1.1717630998123694,0.9926000296690618,1.1753892308542093
2019-12-31,1.19691374596423,1.0161311258410395,1.172753315334317
2020-01-23,1.2511930857763536,1.046791176877531,1.1905511310211776
2020-02-28,1.1877878238218833,0.9676557304793978,1.2202223799817251
2020-03-31,1.2941591916234343,1.012415004557339,1.2730565599910193
2020-04-30,1.3389049342092447,1.0370620782321804,1.2860803273375896
2020-05-29,1.451911388461658,1.1267746164061354,1.283374053297913
2020-06-30,1.6485512882015303,1.2733433466416193,1.2902491749710874
2020-07-31,1.6808133782106591,1.2880448658972683,1.3006025981115579
2020-08-31,1.5224040291604553,1.1798371268366648,1.2872891663698602
2020-09-30,1.5127510698144448,1.1609371857468689,1.2997482041607702
2020-10-30,1.5221188895931042,1.1807642850112758,1.2855992011248507
2020-11-30,1.5873349627499846,1.1850639810460342,1.336000002726034
2020-12-31,1.5439059750881983,1.1240220264254344,1.368264041971917
2021-01-29,1.5541755230621495,1.1278174910529235,1.3727450861707216
2021-02-26,1.5450755883659575,1.1221095843906501,1.371654944423052
2021-03-31,1.566300262915615,1.1379326084382806,1.3711554447805676
2021-04-30,1.6772897048842617,1.2149985308108926,1.375455926379655
2021-05-31,1.7263671297169494,1.2630212233638154,1.3613369531107162
2021-06-30,1.741663697771427,1.2948803395395876,1.3390600676046556
2021-07-30,1.8276175351506678,1.3779749296429586,1.3192151083258918
2021-08-31,1.761339089604517,1.320391275013658,1.3265020112267136
2021-09-30,1.759656394155597,1.3167972889894977,1.3288453563148526
2021-10-29,1.9611002613983668,1.4360770796514457,1.360599223003196
2021-11-30,1.9774614598657099,1.4282379572851098,1.3793776321793065
2021-12-31,1.722981299925376,1.243285235220029,1.380490525004722
2022-01-28,1.8205332103715488,1.3229532626696165,1.3701913060358386
2022-02-28,1.6369644155507335,1.207456812259028,1.3516520070968572
2022-03-31,1.4138292666597772,1.0224580888845145,1.3744992633990347
2022-04-29,1.5936035916978284,1.1327995398442658,1.4009396453712986
2022-05-31,1.780942415133803,1.2473005433146902,1.4240254823442677
2022-06-30,1.850090917759413,1.2690359837219551,1.454500954464046
2022-07-29,1.8094722395445544,1.203655107143825,1.497503492103508
2022-08-31,1.6683451623591472,1.092061101150104,1.5195454067018042
2022-09-30,1.7360816578452951,1.1219717587620013,1.5396213800757055
2022-10-31,1.8064180578806566,1.1750494246626926,1.5291626787802426
2022-11-30,1.7300546917146826,1.120010819222699,1.5361448862937725
2022-12-30,1.8978148800587205,1.2133783219007597,1.5570442991119653
2023-01-31,1.977833007560969,1.2401764025406985,1.588306296824139
2023-02-28,1.9324979980346975,1.225954152741464,1.5701144227789425
2023-03-31,1.9275607550522336,1.1987629213755604,1.6009276005153439
2023-04-28,1.9050845727262007,1.1699397133226925,1.620753007104331
2023-05-31,1.9675688258442159,1.1771408795450364,1.6639355668934797
2023-06-30,1.9151108801361432,1.1617735894001573,1.6412951563781917
2023-07-31,1.8223899453198102,1.0883936556705707,1.6654986010794994
2023-08-31,1.8198870445656168,1.083873759569342,1.6701276829487917
2023-09-28,1.769889185392601,1.06433140484433,1.654356744059344
2023-10-31,1.8358446914255038,1.0841593956069817,1.6851870116276233
2023-11-30,1.790287019932209,1.0496919338665205,1.6969432652975731
2023-12-29,1.4826595883511693,0.8531695258798374,1.7230554544047743
2024-01-31,1.6633914071921223,0.9529411953493745,1.7315926236016956
2024-02-29,1.742869998379468,0.9701747479199563,1.7830147948108124
2024-03-29,1.7743902198694783,0.9801898392022446,1.796855024444967
2024-04-30,1.755380447227222,0.954832063126634,1.8240897022605471
2024-05-31,1.6343841590380799,0.8729527634305994,1.854777739708093
2024-06-28,1.620050638460634,0.8717214260548564,1.8411276149559455
2024-07-31,1.538716392467664,0.8254061309404093,1.8465149175663762
2024-08-30,1.8800800222170861,1.0178816717945645,1.8255767626183275
2024-09-30,1.8997920906446744,1.090598865728953,1.7142986660759092
2024-10-31,1.9559530338698254,1.103519349791104,1.7446665753635866
2024-11-29,1.9201882248650273,1.0622588497247765,1.7779981051543834
2024-12-31,1.90112707735472,1.0423520505172827,1.7936682363374743
2025-01-27,2.0405491339048543,1.118013506555008,1.7950122121397747
2025-02-28,2.030076706872786,1.1102093309198693,1.7983298140232007
2025-03-31,1.9607742533631687,1.0609037723926529,1.8168044106015748
2025-04-30,2.008487571777275,1.0745335324583813,1.8376733285819808
2025-05-30,2.1013841877260133,1.1333048410494289,1.8221584154346728
2025-06-30,2.247812930040692,1.1876871254815873,1.8616928163323847
2025-07-31,2.517957502854786,1.3263134978539854,1.8681370085599118
2025-08-29,2.609722476410749,1.3506132438126457,1.9019931470794937
2025-09-30,2.6174997784917844,1.338437517384216,1.924807721552459
2025-10-31,2.5025276753107275,1.3076870684256998,1.884483937643448
2025-11-28,2.6000786596369045,1.3542366492788849,1.8908612203146329
2025-12-31,2.5975470597376593,1.471838640244085,1.724817658511816
