dt,naive多头,行业中性多头
2018-01-31,0.9448514851137595,0.939566297410345
2018-02-28,1.0454775551447262,1.0290908955801827
2018-03-30,1.0054771316051172,0.9915015784678621
2018-04-27,1.0270515385844314,1.0018449393715059
2018-05-31,0.9249738457956814,0.9018637886603617
2018-06-29,0.9408825663865433,0.9194807133630664
2018-07-31,0.8670887226368776,0.8500473319623117
2018-08-31,0.8723691857783213,0.8537077765700554
2018-09-28,0.8050429403202722,0.7863319944900847
2018-10-31,0.8819115196896081,0.8531465500427934
2018-11-30,0.8585092810863828,0.8300077452062751
2018-12-28,0.842933189302696,0.8121760612771617
2019-01-31,1.0380045700930118,0.9943650897380761
2019-02-28,1.153624563666266,1.102176668707514
2019-03-29,1.1227711991693958,1.0732361498826979
2019-04-30,1.107065769879428,1.0602093516910285
2019-05-31,1.1275463292450516,1.077765266786703
2019-06-28,1.1231168629021908,1.07372682415906
2019-07-31,1.0976994243792875,1.0541834437451787
2019-08-30,1.119040262426789,1.0709041810492004
2019-09-30,1.1226676965702513,1.0724745928011146
2019-10-31,1.0985231606984769,1.0506294317533666
2019-11-29,1.1848711660161666,1.1378882232262564
2019-12-31,1.1689287782781832,1.1229701953214135
2020-01-23,1.1556310266549705,1.1099686456950195
2020-02-28,1.1765835168106462,1.1229304228925334
2020-03-31,1.212838285689554,1.1534990454223006
2020-04-30,1.2585870788827804,1.189194957337641
2020-05-29,1.339219169063049,1.2595044948579681
2020-06-30,1.5380966347941158,1.4292954725716878
2020-07-31,1.633405076232923,1.5019890849435595
2020-08-31,1.5388253094291415,1.4107995346780446
2020-09-30,1.5641049672046776,1.419779317080093
2020-10-30,1.59476674124782,1.4554146560228431
2020-11-30,1.5481588626076148,1.4170924992238316
2020-12-31,1.4181061892951123,1.3085706815641835
2021-01-29,1.442870243469918,1.334006771186044
2021-02-26,1.4734607547718055,1.3627358868978752
2021-03-31,1.5343329215170018,1.3904495275167659
2021-04-30,1.6152456422861459,1.4684391118201778
2021-05-31,1.7019711146091132,1.5244028750096812
2021-06-30,1.6845362557776191,1.5226136101781542
2021-07-30,1.7742496102042777,1.6257881598034172
2021-08-31,1.6803878772309089,1.5670364505917602
2021-09-30,1.6669193522656656,1.5484481066029416
2021-10-29,1.871988014010085,1.7117561647085444
2021-11-30,1.8777519928907223,1.75513461780565
2021-12-31,1.6886173650919885,1.5944941975961844
2022-01-28,1.736172689845045,1.6471723211512033
2022-02-28,1.6418940680475154,1.5867690888574209
2022-03-31,1.3976203060073924,1.3717123648030412
2022-04-29,1.5876102656897535,1.5464912219209321
2022-05-31,1.7378602535318972,1.68110256607645
2022-06-30,1.860971460533466,1.754783761391182
2022-07-29,1.819162857186509,1.7256713658268958
2022-08-31,1.6890922677915166,1.609841466432211
2022-09-30,1.7696230142408031,1.6763338055769186
2022-10-31,1.8576378917870269,1.7751190716178422
2022-11-30,1.7698613229671116,1.7072717977401988
2022-12-30,1.9483724632885442,1.85781540744481
2023-01-31,2.0351807854044677,1.9446259564367339
2023-02-28,2.0022259779469147,1.9184106289108016
2023-03-31,1.9254308825747213,1.8642298317261923
2023-04-28,1.9893755030577829,1.9266234018480621
2023-05-31,2.063748922574778,1.9951967862357036
2023-06-30,2.1527777568526063,2.065665112251484
2023-07-31,2.133416819990542,2.0318340430136774
2023-08-31,2.1495490681242853,2.0462798983333226
2023-09-28,2.1649348498783745,2.051481310660306
2023-10-31,2.3008869094960334,2.1875035834245096
2023-11-30,2.320835565702806,2.1882510615720077
2023-12-29,1.854001102865957,1.777063680342133
2024-01-31,1.7925123726662995,1.7217040312799765
2024-02-29,2.0026538754417595,1.9008022818314492
2024-03-29,1.9300851480279546,1.836667226747973
2024-04-30,1.9395991008589601,1.846175547505727
2024-05-31,1.7759272899864877,1.6990563265502552
2024-06-28,1.8120847841758978,1.7338371569772693
2024-07-31,1.7957522587816384,1.7142133276362925
2024-08-30,2.2171546509088547,2.110508759606174
2024-09-30,2.461707939030844,2.298926439329455
2024-10-31,2.6920428229965094,2.4901439461343666
2024-11-29,2.523854965131675,2.3466121504023283
2024-12-31,2.5611182630894045,2.3645531910303044
2025-01-27,2.792218151196753,2.5695712995025146
2025-02-28,2.8314991526722224,2.598204805447655
2025-03-31,2.8795659091378685,2.619097621686999
2025-04-30,3.1087860568718892,2.810760819403409
2025-05-30,3.3901384300716777,3.046997633221428
2025-06-30,3.717179720492497,3.2722020004571672
2025-07-31,3.9330804011429716,3.4612821383128374
2025-08-29,4.021924946751542,3.5158793020954984
2025-09-30,4.1649939235590185,3.6357209286533623
2025-10-31,4.213289485727635,3.678967883449333
2025-11-28,4.179378458878743,3.6538571514176716
