dt,超额净值_w1.0,超额净值_w0.7,超额净值_w0.5
2018-01-31,1.0084577953370186,1.0056480673079098,0.994013675902206
2018-02-28,1.020572481478952,1.0223840738834287,1.0100228480402091
2018-03-30,1.0281913277089159,1.026313648192312,1.0070949308034958
2018-04-27,1.0655111194737388,1.083044466572607,1.0766277293024902
2018-05-31,1.083002817904483,1.1087757673299408,1.0993717585450318
2018-06-29,1.0985847590153222,1.1257157536806115,1.1132648098350721
2018-07-31,1.0998606204732846,1.1260157028013074,1.112432308946234
2018-08-31,1.0985004220661814,1.1256522403868203,1.1240800119839716
2018-09-28,1.102977719007044,1.1295727818182741,1.1264768281751087
2018-10-31,1.1424005514999822,1.1413924407873923,1.1347975921881417
2018-11-30,1.150601759953651,1.155388084889561,1.1444879294377952
2018-12-28,1.161779021608618,1.1745079757605115,1.169662293802947
2019-01-31,1.1278693424664799,1.13407713543966,1.1354442639529
2019-02-28,1.1166083778085236,1.1200901024935415,1.1287377444505313
2019-03-29,1.1276592302097668,1.1271370633772835,1.1338483718774943
2019-04-30,1.159041959448926,1.172234119365205,1.160304549846061
2019-05-31,1.1667730986867975,1.1882862566883934,1.1743378220497307
2019-06-28,1.175609668878101,1.2047103431755857,1.1897421245044986
2019-07-31,1.1651235915396454,1.2206922832050264,1.1942416158832259
2019-08-30,1.1836897383826341,1.247469900877783,1.2179683200315488
2019-09-30,1.174213973367,1.2450325616915,1.2100725344235443
2019-10-31,1.1793262726209564,1.2551787038780986,1.2240105826809582
2019-11-29,1.1647342031784698,1.2517749896602208,1.2224604055103987
2019-12-31,1.1523581525285278,1.2311630569484946,1.1957660881586785
2020-01-23,1.1306508301925593,1.1975559662115225,1.1597234757492059
2020-02-28,1.1949134919680662,1.2394812262057224,1.1888525050707808
2020-03-31,1.2436392053159202,1.2579350871692376,1.2042105544283601
2020-04-30,1.2921886358051493,1.3155831110186849,1.2491747398644413
2020-05-29,1.3053073895771652,1.319635660142433,1.239813657273486
2020-06-30,1.3398091448619698,1.364826593197039,1.2766838569669758
2020-07-31,1.3483938509877504,1.3899038898840492,1.3052473044694584
2020-08-31,1.3285109963701218,1.3734748006616921,1.2914598110170938
2020-09-30,1.3436287358579015,1.3967950125979094,1.3161494264004698
2020-10-30,1.351837803961533,1.4045977020577203,1.325287840358638
2020-11-30,1.3367357869381136,1.381047590690988,1.2981951222498624
2020-12-31,1.3316962622154114,1.3834448336792946,1.301916986497725
2021-01-29,1.3686713735372118,1.4208822181334917,1.3373429628120181
2021-02-26,1.390330474496544,1.4565186671123764,1.366096086787048
2021-03-31,1.4202981000554415,1.488767585977993,1.3689968409865285
