,年化,波动,夏普,最大回撤,对500_IR,年化换手,平均持仓,最大权重
naive top-decile,0.1217,0.1941,0.63,-0.271,0.79,—,378,等权
优化器(中性+约束),0.1341,0.201,0.67,-0.25,0.65,6.2,87.0,0.03
