因子,RankIC,ICIR,t值,IC>0占比,多空年化,多空夏普
gtja117,0.014,0.165,1.88,0.515,0.1091,0.83
gtja163,0.0146,0.148,1.69,0.573,0.0254,0.27
gtja171,0.0111,0.141,1.61,0.504,0.0422,0.51
gtja11,-0.0133,-0.136,-1.56,0.458,-0.0624,-0.44
gtja152,-0.0166,-0.135,-1.55,0.458,-0.0432,-0.24
gtja85,0.0085,0.123,1.4,0.534,0.0347,0.41
gtja45,-0.0095,-0.122,-1.39,0.45,-0.053,-0.47
gtja148,0.012,0.12,1.37,0.557,-0.1237,-0.61
gtja131,-0.0094,-0.11,-1.26,0.473,-0.0107,-0.03
gtja22,-0.0127,-0.109,-1.25,0.435,-0.0997,-0.64
gtja37,0.0111,0.104,1.19,0.565,0.0531,0.48
gtja170,-0.01,-0.103,-1.18,0.412,0.0286,0.29
gtja111,0.0074,0.085,0.97,0.489,0.0202,0.24
gtja178,-0.0082,-0.084,-0.96,0.481,-0.0189,-0.08
gtja125,0.0078,0.084,0.96,0.481,-0.0055,0.01
gtja127,-0.0108,-0.083,-0.95,0.443,0.025,0.23
gtja142,0.0062,0.069,0.79,0.511,0.0632,0.55
gtja39,0.0061,0.064,0.73,0.481,-0.0116,-0.04
gtja146,-0.0041,-0.06,-0.69,0.473,-0.0243,-0.27
gtja119,0.0023,0.053,0.6,0.489,-0.0068,-0.09
gtja180,0.0044,0.05,0.58,0.542,-0.0022,0.06
gtja191,0.0039,0.049,0.56,0.489,0.0387,0.41
gtja104,0.002,0.036,0.41,0.542,0.0132,0.25
gtja2,0.0024,0.034,0.39,0.542,-0.0363,-0.43
gtja155,-0.0025,-0.032,-0.36,0.45,-0.0268,-0.21
gtja38,0.0027,0.026,0.29,0.511,0.0486,0.47
gtja186,-0.0007,-0.008,-0.09,0.496,0.0143,0.18
gtja91,0.0007,0.008,0.1,0.496,0.0702,0.7
gtja13,-0.0004,-0.004,-0.05,0.45,-0.021,-0.15
gtja172,0.0001,0.001,0.01,0.473,0.0064,0.11
gtja30,,,,,,
gtja56,,,,,,
gtja75,,,,,,
gtja143,,,,,,
gtja149,,,,,,
gtja154,,,,,,
gtja165,,,,,,
gtja181,,,,,,
gtja182,,,,,,
gtja183,,,,,,
