dt,V1多头,V2中性,V3指增,中证500,中证800
2018-01-31,0.9448514851137595,0.9721986076220549,0.9447352906428054,0.9732339840380421,0.9490421978989557
2018-02-28,1.0454775551447262,1.0428592593324413,0.9146763385803043,0.9879465358266737,0.9307483639275668
2018-03-30,1.0054771316051172,1.038816915022583,0.8868426895877836,0.9469479868696846,0.8956617218164112
2018-04-27,1.0270515385844314,1.087240666933252,0.8900708519559085,0.9297395312360396,0.8993539753778638
2018-05-31,0.9249738457956814,1.0842530218288953,0.825824875646616,0.8430241604073843,0.8266075662240013
2018-06-29,0.9408825663865433,1.1117771022914595,0.8351117502277591,0.8383310921146532,0.8266336937406527
2018-07-31,0.8670887226368776,1.107990109941554,0.7827265202784975,0.7779219144655303,0.7794852835673814
2018-08-31,0.8723691857783213,1.1259746938623278,0.8101220245047753,0.7756446122454718,0.7973493198898551
2018-09-28,0.8050429403202722,1.1535976569978397,0.7352399243105772,0.6903080634917352,0.7260965337712306
2018-10-31,0.8819115196896081,1.203866676182657,0.7471597568624513,0.7071271400299322,0.7335522383770111
2018-11-30,0.8585092810863828,1.2191777548741016,0.7086146404010589,0.6734216130602596,0.6967200604242371
2018-12-28,0.842933189302696,1.2124264951952888,0.7349120983547943,0.6747849245985962,0.7305336392865535
2019-01-31,1.0380045700930118,1.250673317745478,0.8314106597341209,0.8119266655367671,0.8469421769751697
2019-02-28,1.153624563666266,1.2668172890635236,0.8901180064336999,0.8963241805549248,0.9037079082985133
2019-03-29,1.1227711991693958,1.27348910674801,0.8910693684148923,0.8575323285629276,0.9011188891276658
2019-04-30,1.107065769879428,1.3217606106453064,0.8542606313935907,0.7936226166889171,0.835400346494417
2019-05-31,1.1275463292450516,1.3460990307027163,0.8957184363224794,0.7998395952008457,0.8712083257944564
2019-06-28,1.1231168629021908,1.3649531120990097,0.9054274763885646,0.7922011406383973,0.8709494456503023
2019-07-31,1.0976994243792875,1.3350223521735138,0.8874830409361563,0.7895014994326534,0.8640278310307374
2019-08-30,1.119040262426789,1.3467806432369147,0.8894063158969789,0.7982922576086855,0.8688899441502561
2019-09-30,1.1226676965702513,1.343284483504505,0.8994821727684882,0.7944976694610943,0.8804964402347212
2019-10-31,1.0985231606984769,1.3401737521933157,0.890779930780549,0.7908664266518841,0.8694523389461773
2019-11-29,1.1848711660161666,1.3408473800535061,0.9506822626074759,0.8510860849321437,0.9315620183419526
2019-12-31,1.1689287782781832,1.291764068128071,0.929148997466072,0.8688713386449379,0.9201116341694796
2020-01-23,1.1556310266549705,1.2397833339428341,0.909267953313367,0.8807545100520393,0.9121362097116419
2020-02-28,1.1765835168106462,1.3423217829320253,0.8458073996027717,0.8145379289976105,0.8509083340028513
2020-03-31,1.212838285689554,1.3258681053709997,0.9077936609487606,0.8650129311020346,0.9032911744079236
2020-04-30,1.2585870788827804,1.3444373047389042,0.9066308485385988,0.8734920244336187,0.8975942871313928
2020-05-29,1.339219169063049,1.3248568601571016,0.9894817314707516,0.9475024885524967,0.9682781465749333
2020-06-30,1.5380966347941158,1.3664322723280442,1.1263587275167612,1.063064710766461,1.090431254257969
2020-07-31,1.633405076232923,1.4341486758932833,1.1626345400039673,1.0774059790856567,1.115238460401245
2020-08-31,1.5388253094291415,1.454374602349371,1.1065464009825412,1.0005112014348536,1.055699728643967
2020-09-30,1.5641049672046776,1.4956364850476973,1.1185065996064008,0.987420146991416,1.0712018374611547
2020-10-30,1.59476674124782,1.49908756871183,1.1984405599556966,1.0212628452689874,1.1260617841740845
2020-11-30,1.5481588626076148,1.4471427385326485,1.2420058889921188,1.0287226055245622,1.1717947361327665
2020-12-31,1.4181061892951123,1.388230882976856,1.290345212283763,1.02533323014518,1.1954982724268264
2021-01-29,1.442870243469918,1.4052661640813056,1.2710737632112594,1.028276354461646,1.1935983665076593
2021-02-26,1.4734607547718055,1.4382387603053544,1.237808440526979,1.0104581408586144,1.1387048894816933
2021-03-31,1.5343329215170018,1.4765630525700846,1.273628539200147,1.047883449950487,1.1613504790806775
2021-04-30,1.6152456422861459,1.4628271961012933,1.313374699783932,1.0871902194433942,1.2076895894256718
2021-05-31,1.7019711146091132,1.4870609692891217,1.3092186982090355,1.099985119578966,1.1919963142783183
2021-06-30,1.6845362557776191,1.43540614500598,1.2031141168636754,1.093382316469556,1.117184960391774
2021-07-30,1.7742496102042777,1.4273079947429803,1.2332818270563508,1.1722317448658908,1.1352469126528821
2021-08-31,1.6803878772309089,1.4013394507254404,1.237495001186789,1.1477163723892412,1.1400735358956162
2021-09-30,1.6669193522656656,1.3903822512389163,1.2396837708463502,1.1346117462262941,1.1444107036597473
2021-10-29,1.871988014010085,1.447097897808599,1.2478584074779595,1.1718137682186194,1.1398420896439456
2021-11-30,1.8777519928907223,1.4553359846771876,1.2760917876310311,1.1890445202486013,1.1629401207396095
2021-12-31,1.6886173650919885,1.4720246077775243,1.1600421752848318,1.063203659323343,1.066005292128498
2022-01-28,1.736172689845045,1.4269007561843625,1.177755286427911,1.1072758796130313,1.079560900955157
2022-02-28,1.6418940680475154,1.4563131491733963,1.1211170180542693,1.0219118642840974,0.9952931278752519
2022-03-31,1.3976203060073924,1.4335465911919911,1.0580431060305326,0.9092893734567218,0.9319426091678411
2022-04-29,1.5876102656897535,1.4885853588010836,1.0941045779741938,0.9736475983468998,0.9605106536037795
2022-05-31,1.7378602535318972,1.4932547873238358,1.1841779632661218,1.0427730512828424,1.0470016606214128
2022-06-30,1.860971460533466,1.5727523431686354,1.1323605170526125,1.0169279734304506,0.9848582331832962
2022-07-29,1.819162857186509,1.6055270683107496,1.1144288763325614,0.9945721200366888,0.9632799526395217
2022-08-31,1.6890922677915166,1.618684234106971,1.0635183389286682,0.9232102416073051,0.8974878175010382
2022-09-30,1.7696230142408031,1.6531175172353643,1.0018685410520698,0.9382430213491225,0.8484636693615024
2022-10-31,1.8576378917870269,1.6625995261082698,1.0720601846935733,0.9946369088405373,0.9231711663693575
2022-11-30,1.7698613229671116,1.6491630164546698,1.0633951898603289,0.9475107285250562,0.9150468150666068
2022-12-30,1.9483724632885442,1.6904068801525731,1.121232620594851,1.0161259494346815,0.9821675344268138
2023-01-31,2.0351807854044677,1.7290074352975122,1.1194573730434443,1.027174783228134,0.9694804477995081
2023-02-28,2.0022259779469147,1.7147082472799984,1.1515584053515189,1.0243122813882772,0.9655114602908561
2023-03-31,1.9254308825747213,1.6787515616197377,1.1352222195288724,1.0083858685440017,0.957748321905811
2023-04-28,1.9893755030577829,1.7664545024869736,1.0891815330319208,0.9771318141947584,0.9094609697358446
2023-05-31,2.063748922574778,1.8189874679944302,1.100941823790699,0.9692031833437518,0.91522622401428
2023-06-30,2.1527777568526063,1.9144181063992964,1.1464219121518895,0.9836657892980851,0.9490095385031421
2023-07-31,2.133416819990542,1.9997939567334164,1.0957417406545622,0.9273035691521924,0.8912453005851044
2023-08-31,2.1495490681242853,2.0178357291994433,1.0830742341351693,0.9194468361009678,0.8760072974154012
2023-09-28,2.1649348498783745,2.059962494773564,1.0554819677908984,0.8931870129630923,0.8489472461488589
2023-10-31,2.3008869094960334,2.1508710270995404,1.040872924089492,0.8959031341139547,0.8362451361994788
2023-11-30,2.320835565702806,2.225176880603975,1.027271859638406,0.8771901564318396,0.8201270711772346
2023-12-29,1.854001102865957,2.140696540927582,0.962425289548145,0.7588820845385637,0.7526878138431862
2024-01-31,1.7925123726662995,1.8438191857253197,1.064222327388869,0.863871129414262,0.8316236139624583
2024-02-29,2.0026538754417595,2.0264461732051884,1.0476997436733497,0.8540749330179092,0.8329060395714308
2024-03-29,1.9300851480279546,1.9300597013085106,1.0803689081507006,0.8791147555127433,0.8508889560946683
2024-04-30,1.9395991008589601,1.9794208566947653,1.0590441204270842,0.8576906652905372,0.8412291777300375
2024-05-31,1.7759272899864877,1.9579683046758742,1.0164947798101593,0.7985958440486635,0.8056746353415164
2024-06-28,1.8120847841758978,1.9959476823188318,1.0155415605376594,0.7894885739855015,0.7999594588033296
2024-07-31,1.7957522587816384,2.067232812883118,0.9899711382130649,0.7495327854774843,0.7688163298720909
2024-08-30,2.2171546509088547,2.1219217399232755,1.176272020307298,0.9279205976856013,0.9353831676522187
2024-09-30,2.461707939030844,2.2173680029839535,1.1207567927864264,0.9534601502809423,0.9197205923369305
2024-10-31,2.6920428229965094,2.3967367140207423,1.1320926880900415,0.9454866035010833,0.922161120121476
2024-11-29,2.523854965131675,2.320871256999962,1.1569957220998544,0.925095579642485,0.9202056932294247
2024-12-31,2.5611182630894045,2.3884344933299744,1.125444099739884,0.9030594694976408,0.8940842729985838
2025-01-27,2.792218151196753,2.4455199696202867,1.1772121094364676,0.9467681615861846,0.9178655386546817
2025-02-28,2.8314991526722224,2.4896030959162605,1.162070531416289,0.9464290301665391,0.9173009665657059
2025-03-31,2.8795659091378685,2.624043083879601,1.1356388924182121,0.909923205071428,0.8877152553561957
2025-04-30,3.1087860568718892,2.797346131419342,1.1460887888388334,0.9162642678760141,0.9014705219559325
2025-05-30,3.3901384300716777,2.909171890462145,1.1666524565826708,0.9557379372052689,0.9281704489512963
2025-06-30,3.717179720492497,3.0600668776332975,1.214461534497105,1.005978342443888,0.9652083810977
2025-07-31,3.9330804011429716,2.9155138300783148,1.3454261719704952,1.138076250767246,1.0720701419312026
2025-08-29,4.021924946751542,2.9277450801712157,1.4093727894416435,1.1976021356716324,1.1122189903935658
2025-09-30,4.1649939235590185,3.04874198719681,1.4005112250286893,1.1844561480777998,1.108891651148011
2025-10-31,4.213289485727635,3.1392390438255253,1.346263881152734,1.136074260571521,1.0767776672438676
2025-11-28,4.179378458878743,3.008320408009919,1.3877399428517059,1.206198527436119,1.1124171240615057
2025-12-31,,,1.384536491382511,,
