,年化收益,年化波动,夏普,最大回撤,卡玛,超额,胜率
V1 多头·全A(OOS),11.0%,21.3%,0.6,-29.9%,0.37,8.6%,65%
V2 市场中性·IM贴水3%(OOS),6.5%,6.9%,0.95,-5.8%,1.13,6.5%,60%
V3 中证800指增 TE3%(OOS),2.7%,18.8%,0.23,-35.2%,0.08,0.8%,45%
