ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
510430.SH,银华上证50等权重ETF,银华基金管理股份有限公司,中国建设银行股份有限公司,股票型,20120823,20200923,20120924,20120723,20201218,11.7992,,,8.0,1.0,0.1,,上证50等权重指数×100%,D,,股票型,,20120924,20120924,E
510420.SH,景顺长城上证180等权重ETF,景顺长城基金管理有限公司,中国银行股份有限公司,股票型,20120612,20181026,20120709,20120502,20191108,12.7046,,,6.0,1.0,0.1,,上证180等权重指数×100%,D,,股票型,,20120709,20120709,E
159917.SZ,国泰中小板300成长ETF,国泰基金管理有限公司,中国银行股份有限公司,股票型,20120315,20150826,20120406,20120130,20150827,3.4513,,,3.0,1.0,0.1,,中小300成长P×100%,D,,股票型,,20120406,20120406,E
159911.SZ,鹏华深证民营ETF,鹏华基金管理有限公司,中国建设银行股份有限公司,股票型,20110902,20200611,20111014,20110727,20200619,5.6855,,,9.0,1.0,0.1,,深证民营P×100%,D,,股票型,,20111014,20111014,E
510280.SH,华宝上证180成长ETF,华宝基金管理有限公司,中国银行股份有限公司,股票型,20110804,20181127,20111018,20110704,20190930,8.2175,,,7.0,1.0,0.1,,上证180成长指数×100%,D,,股票型,,20111018,20111018,E
510120.SH,海富通上证非周期行业100ETF,海富通基金管理有限公司,中国工商银行股份有限公司,股票型,20110422,20230629,20110608,20110321,20230811,6.5231,,,12.0,1.0,0.1,,上证非周期行业100指数×100%,D,,股票型,,20110608,20110608,E
510260.SH,诺安上证新兴产业ETF,诺安基金管理有限公司,中国工商银行股份有限公司,股票型,20110407,20190628,20110608,20110307,20200115,9.1241,,,8.0,1.0,0.1,,上证新兴产业指数×100%,D,,股票型,,20110608,20110608,E
510220.SH,华泰柏瑞上证中小盘ETF,华泰柏瑞基金管理有限公司,中国银行股份有限公司,股票型,20110126,20221120,20110328,20101220,20221227,3.4843,,,11.0,1.0,0.1,,上证中小盘指数×100%,D,,股票型,,20110328,20110328,E
510110.SH,海富通上证周期行业50ETF,海富通基金管理有限公司,中国工商银行股份有限公司,股票型,20100919,20230705,20101115,20100819,20230811,9.6738,,,13.0,1.0,0.1,,上证周期行业50指数×100%,D,,股票型,,20101115,20101115,E
510070.SH,鹏华上证民营企业50ETF,鹏华基金管理有限公司,中国工商银行股份有限公司,股票型,20100805,20200629,20101029,20100701,20200813,10.07,,,10.0,1.0,0.1,,上证民营企业50指数×100%,D,,股票型,,20101029,20101029,E
