date,NAV,HFQ,HFQ_filtered,HS300
2020-02-04,1.012166504419376,1.0096602261741578,1.0107477987666826,
2020-02-05,1.019282050851835,1.0151145193841282,1.0195980652746912,1.0113293981093807
2020-02-06,1.028262265792642,1.0201426981130903,1.0285031199984722,1.0301500037774347
2020-02-07,1.0282218079118244,1.0208078881400438,1.0287141123363095,1.0301748344664756
2020-02-10,1.0303355530642693,1.0216722690821358,1.0306916577909566,1.0344372599810125
2020-02-11,1.031333663232266,1.024198689781038,1.0312513433989352,1.0440681332974786
2020-02-12,1.0351407993618145,1.0269462051207092,1.0376680409642103,1.0525129449778348
2020-02-13,1.0336208251502979,1.0287926836330432,1.0378162478164803,1.0460374182634473
2020-02-14,1.0353390990164735,1.026877727213855,1.0384798827656436,1.053384924813202
2020-02-17,1.0425714840415714,1.0302171843484238,1.049182066735548,1.0770771003460975
2020-02-18,1.0433254658305062,1.0287924641074728,1.048220166835281,1.07181695661339
2020-02-19,1.0437031303707227,1.02741295224005,1.046525830326337,1.070179187761746
2020-02-20,1.0488122930798456,1.030894010975207,1.0559637084833142,1.0948368544483122
2020-02-21,1.051642236649385,1.0308142871583161,1.060371605126543,1.0961137858400618
2020-02-24,1.050375488889796,1.0289899898721957,1.0626808643127166,1.091715319848332
2020-02-25,1.0465610777987064,1.030750301863578,1.0621556464167516,1.0893418757947801
2020-02-26,1.0406390885164014,1.0259953463616862,1.0518914030926898,1.0759124353675653
2020-02-27,1.0374409005376046,1.0277020324685053,1.0530974436825409,1.079045592843267
2020-02-28,1.0250337166893493,1.019296468791947,1.0339235941854528,1.0407886332501943
2020-03-02,1.0361258667624198,1.024714756542319,1.0425576168581314,1.075027776031411
2020-03-03,1.0387754892104422,1.0277724700580186,1.046635972761741,1.0807589103870996
2020-03-04,1.0454070670719133,1.0314870112419365,1.050401172985292,1.087016772337978
2020-03-05,1.0533937349110531,1.0366248426510523,1.0595962589790933,1.1112327697471334
2020-03-06,1.0522521532005533,1.037578874417891,1.0575975638566684,1.0932125575662537
2020-03-09,1.039617661529758,1.0322091626613616,1.042975106180813,1.0558677295610404
2020-03-10,1.0445334229700187,1.0325450672047032,1.049097754887846,1.0784792418081175
